customer_id,signup_date,home_city,segment,age,household_size,income_band,acquisition_channel,propensity_score
C000096,2023-08-29,Dhaka,Renter-to-Owner,32.0,5,Lower-Mid,Organic,0.68
C000097,2024-03-24,Chattogram,End-User,26.0,5,Low,Marketplace,0.367
C000098,2023-08-12,Chattogram,End-User,20.0,5,High,Broker Network,0.686
C000099,2023-11-16,Rajshahi,Renter-to-Owner,40.0,2,,Organic,0.755
C000100,2024-06-10,Rajshahi,Business Buyer,38.0,4,High,Facebook,0.854
C000101,2024-11-20,Dhaka,Investor,39.0,6,Low,Broker Network,0.567
C000102,2022-04-26,Rajshahi,End-User,27.0,5,Low,Facebook,0.281
C000103,2024-01-30,Sylhet,Renter-to-Owner,36.0,4,Mid,Facebook,0.629
C000104,2022-08-29,Barishal,End-User,22.0,6,Mid,Email,0.576
C000105,2022-07-29,Dhaka,Renter-to-Owner,25.0,4,Mid,Organic,0.744
C000106,2024-04-25,Chattogram,End-User,34.0,5,Low,Referral,0.572
C000107,2022-03-15,Chattogram,Investor,36.0,4,Upper-Mid,Facebook,0.869
C000108,2024-06-22,Dhaka,Renter-to-Owner,19.0,4,Mid,Referral,0.598
C000109,2024-04-01,Chattogram,Business Buyer,24.0,4,Lower-Mid,Paid Search,0.579
C000110,2024-11-26,Dhaka,Investor,31.0,5,Mid,Organic,0.831
C000111,2023-12-14,Dhaka,Renter-to-Owner,43.0,6,Low,Marketplace,0.495
C000112,2024-07-19,Rajshahi,End-User,27.0,3,Lower-Mid,Email,0.539
C000113,2022-05-07,Dhaka,Investor,35.0,4,High,Marketplace,0.885
C000114,2024-08-06,Sylhet,End-User,,5,Mid,Broker Network,0.541
C000115,2022-06-20,Dhaka,Renter-to-Owner,,4,Low,Organic,0.581
C000116,2022-12-02,Khulna,Investor,36.0,2,Lower-Mid,Referral,0.76
C000117,2022-05-17,Chattogram,Investor,22.0,3,Low,Paid Search,0.593
C000118,2023-03-05,Barishal,Renter-to-Owner,28.0,3,Upper-Mid,Paid Search,0.634
C000119,2024-03-09,Barishal,End-User,47.0,3,Upper-Mid,Paid Search,0.788
C000120,2022-10-13,Chattogram,Investor,48.0,3,Mid,Organic,0.82
C000121,2024-05-26,Rajshahi,End-User,42.0,5,High,Organic,0.753
C000122,2023-10-09,Dhaka,Renter-to-Owner,44.0,3,,Organic,0.6
C000123,2023-11-02,Rajshahi,End-User,18.0,5,Upper-Mid,Broker Network,0.649
C000124,2024-09-27,Dhaka,Renter-to-Owner,25.0,2,Lower-Mid,Marketplace,0.407
C000125,2023-04-06,Chattogram,Investor,31.0,3,Upper-Mid,Paid Search,0.844
C000126,2023-01-03,Dhaka,End-User,56.0,4,Upper-Mid,Organic,0.564
C000127,2024-11-26,Rangpur,Renter-to-Owner,31.0,5,Lower-Mid,Paid Search,0.528
C000128,2023-08-17,Chattogram,End-User,41.0,5,Low,Broker Network,0.283
C000129,2023-10-18,Rajshahi,Investor,37.0,3,Low,Paid Search,0.398
C000130,2022-11-12,Chattogram,End-User,37.0,5,,Referral,0.579
C000131,2022-08-18,Dhaka,End-User,34.0,2,Lower-Mid,Organic,0.422
C000132,2022-07-01,Dhaka,End-User,23.0,5,Lower-Mid,Broker Network,0.525
C000133,2022-08-27,Mymensingh,Business Buyer,18.0,2,Mid,Referral,0.764
C000134,2022-07-28,Barishal,End-User,46.0,4,Low,Paid Search,0.382
C000135,2024-03-07,Dhaka,End-User,28.0,5,Upper-Mid,Marketplace,0.56
C000136,2022-03-03,Sylhet,Investor,18.0,5,Low,Facebook,0.54
C000137,2023-11-02,Chattogram,End-User,38.0,2,Low,Organic,0.377
C000138,2024-10-08,Dhaka,End-User,38.0,3,Low,Facebook,0.426
C000139,2024-03-27,Khulna,Business Buyer,41.0,5,High,Facebook,0.771
C000140,2023-03-06,Dhaka,End-User,44.0,5,Lower-Mid,Marketplace,0.42
C000141,2022-03-05,Dhaka,Renter-to-Owner,26.0,4,Low,Paid Search,0.5
C000142,2024-06-08,Sylhet,End-User,26.0,1,Low,Email,0.34
C000143,2022-01-04,Dhaka,End-User,31.0,5,Lower-Mid,Broker Network,0.347
C000144,2023-12-28,Rangpur,Business Buyer,41.0,5,High,Referral,0.825
C000145,2023-12-17,Rajshahi,End-User,18.0,4,Mid,Organic,0.684
C000146,2022-07-24,Rangpur,Renter-to-Owner,35.0,4,Lower-Mid,Organic,0.587
C000147,2024-02-28,Rajshahi,Renter-to-Owner,42.0,4,Lower-Mid,Email,0.563
C000148,2022-07-07,Rangpur,Business Buyer,42.0,6,Low,Facebook,0.504
C000149,2022-08-29,Chattogram,End-User,40.0,4,Mid,Marketplace,0.673
C000150,2024-05-15,Khulna,End-User,44.0,3,Lower-Mid,Facebook,0.264
C000151,2024-11-09,Khulna,End-User,18.0,4,,Facebook,0.51
C000152,2022-10-10,Rangpur,Business Buyer,49.0,4,Low,Marketplace,0.492
C000153,2024-09-09,Dhaka,End-User,37.0,4,Low,Broker Network,0.408
C000154,2024-08-31,Khulna,End-User,46.0,1,Mid,Paid Search,0.604
C000155,2024-03-31,Barishal,End-User,23.0,4,Mid,Email,0.626
C000156,2022-05-30,Chattogram,Investor,18.0,5,Mid,Paid Search,0.723
C000157,2022-11-16,Rangpur,Investor,50.0,5,Upper-Mid,Facebook,0.665
C000158,2023-12-24,Chattogram,Investor,26.0,5,Upper-Mid,Paid Search,0.95
C000159,2024-12-01,Dhaka,Investor,31.0,4,Upper-Mid,Marketplace,0.81
C000160,2024-05-18,Rajshahi,Renter-to-Owner,39.0,4,Lower-Mid,Marketplace,0.517
C000161,2023-03-25,Chattogram,End-User,41.0,5,,Email,0.741
C000162,2022-09-08,Dhaka,Investor,44.0,5,,Facebook,0.689
C000163,2024-10-20,Dhaka,End-User,36.0,6,Mid,Broker Network,0.683
C000164,2022-10-22,Dhaka,End-User,25.0,3,Mid,Paid Search,0.515
C000165,2022-12-31,Barishal,End-User,40.0,3,Low,Paid Search,0.516
C000166,2024-10-25,Rangpur,End-User,41.0,3,Mid,Broker Network,0.616
C000167,2023-08-22,Khulna,Investor,18.0,2,Mid,Organic,0.746
C000168,2022-10-10,Dhaka,End-User,47.0,2,High,Organic,0.934
C000169,2022-01-06,Khulna,Investor,18.0,4,,Referral,0.778
C000170,2023-04-04,Rangpur,End-User,43.0,4,High,Broker Network,0.691
C000171,2024-11-17,Sylhet,End-User,28.0,4,,Paid Search,0.257
C000172,2023-04-07,Dhaka,End-User,40.0,4,,Referral,0.836
C000173,2024-01-16,Dhaka,Investor,39.0,2,Mid,Marketplace,0.841
C000174,2022-09-27,Rangpur,End-User,34.0,3,Mid,Organic,0.631
C000175,2024-04-06,Rangpur,End-User,38.0,3,Mid,Email,0.586
C000176,2024-04-06,Dhaka,Investor,33.0,4,High,Facebook,0.95
C000177,2023-10-11,Rangpur,Renter-to-Owner,40.0,2,Low,Facebook,0.468
C000178,2024-04-02,Dhaka,End-User,54.0,2,Lower-Mid,Organic,0.457
C000179,2023-09-10,Dhaka,Investor,22.0,3,Upper-Mid,Paid Search,0.771
C000180,2023-02-08,Barishal,End-User,18.0,5,Low,Broker Network,0.454
C000181,2024-02-26,Khulna,Investor,30.0,4,Mid,Facebook,0.76
C000182,2024-06-09,Chattogram,Renter-to-Owner,30.0,5,Mid,Organic,0.757
C000183,2024-06-15,Rangpur,Investor,31.0,4,Upper-Mid,Paid Search,0.849
C000184,2022-08-16,Rangpur,End-User,26.0,4,Upper-Mid,Email,0.694
C000185,2023-12-23,Dhaka,Business Buyer,,4,Lower-Mid,Facebook,0.588
C000186,2022-01-05,Rajshahi,Investor,22.0,3,Mid,Organic,0.877
C000187,2023-09-02,Barishal,End-User,38.0,3,Mid,Marketplace,0.59
C000188,2023-09-01,Khulna,End-User,40.0,2,Mid,Paid Search,0.519
C000189,2023-01-23,Mymensingh,Business Buyer,37.0,3,Lower-Mid,Broker Network,0.605
C000190,2024-11-25,Sylhet,End-User,38.0,5,Lower-Mid,Organic,0.536
C000191,2024-07-30,Dhaka,End-User,43.0,5,Mid,Paid Search,0.549
C000192,2022-02-11,Dhaka,Investor,34.0,3,Low,Paid Search,0.675
C000193,2022-08-11,Rangpur,End-User,,1,Mid,Email,0.577
C000194,2022-08-10,Mymensingh,End-User,38.0,5,Low,Broker Network,0.296
C000195,2024-08-14,Dhaka,End-User,39.0,4,Upper-Mid,Paid Search,0.525
C000196,2023-07-08,Dhaka,Investor,42.0,2,Upper-Mid,Broker Network,0.841
C000197,2024-02-16,Barishal,End-User,19.0,1,Mid,Broker Network,0.638
C000198,2024-05-13,Dhaka,End-User,32.0,2,Upper-Mid,Facebook,0.542
C000199,2024-03-29,Dhaka,End-User,24.0,3,High,Facebook,0.732
C000200,2022-04-05,Rangpur,Renter-to-Owner,39.0,2,,Facebook,0.529
C000201,2022-05-30,Barishal,Renter-to-Owner,41.0,5,,Organic,0.683
C000202,2023-02-26,Rangpur,Business Buyer,32.0,3,,Broker Network,0.653
C000203,2022-12-27,Rajshahi,End-User,27.0,4,Upper-Mid,Broker Network,0.569
C000204,2024-03-07,Chattogram,End-User,39.0,7,Mid,Email,0.592
C000205,2022-06-16,Rangpur,Investor,33.0,4,Lower-Mid,Broker Network,0.819
C000206,2023-02-01,Dhaka,Business Buyer,47.0,4,Mid,Broker Network,0.694
C000207,2022-09-10,Dhaka,End-User,50.0,4,Lower-Mid,Broker Network,0.496
C000208,2022-07-21,Rangpur,End-User,43.0,5,Upper-Mid,Marketplace,0.63
C000209,2022-07-04,Sylhet,End-User,36.0,4,Upper-Mid,Referral,0.707
C000210,2022-07-28,Rangpur,Renter-to-Owner,50.0,2,Low,Email,0.462
C000211,2023-08-25,Dhaka,Renter-to-Owner,36.0,3,Low,Broker Network,0.476
C000212,2023-03-14,Mymensingh,Renter-to-Owner,,3,High,Paid Search,0.645
C000213,2023-04-10,Rajshahi,End-User,28.0,3,Low,Facebook,0.386
C000214,2023-05-27,Rajshahi,End-User,28.0,6,Mid,Broker Network,0.494
C000215,2024-02-29,Mymensingh,Business Buyer,34.0,5,Mid,Organic,0.76
C000216,2024-07-07,Chattogram,End-User,38.0,4,Mid,Facebook,0.576
C000217,2023-07-16,Sylhet,End-User,21.0,5,Low,Organic,0.463
C000218,2023-11-16,Rajshahi,End-User,30.0,4,Low,Paid Search,0.299
C000219,2024-02-27,Barishal,End-User,36.0,2,Mid,Facebook,0.545
C000220,2024-01-06,Rangpur,Renter-to-Owner,40.0,6,Lower-Mid,Paid Search,0.503
C000221,2022-05-24,Sylhet,End-User,34.0,3,Upper-Mid,Broker Network,0.613
C000222,2024-11-13,Dhaka,Renter-to-Owner,36.0,1,High,Referral,0.95
C000223,2022-06-25,Dhaka,Renter-to-Owner,23.0,2,Upper-Mid,Paid Search,0.618
C000224,2023-03-16,Mymensingh,End-User,26.0,5,Lower-Mid,Organic,0.55
C000225,2023-11-27,Mymensingh,Investor,33.0,2,Mid,Paid Search,0.862
C000226,2023-03-06,Mymensingh,End-User,39.0,5,Low,Facebook,0.381
C000227,2022-09-17,Dhaka,End-User,36.0,4,Mid,Broker Network,0.531
C000228,2024-09-11,Chattogram,End-User,26.0,5,Lower-Mid,Referral,0.486
C000229,2022-03-18,Barishal,Renter-to-Owner,32.0,3,Upper-Mid,Organic,0.638
C000230,2022-09-20,Barishal,Investor,48.0,4,Mid,Facebook,0.727
C000231,2024-11-24,Dhaka,End-User,39.0,4,Low,Marketplace,0.37
C000232,2024-02-17,Rajshahi,Renter-to-Owner,33.0,4,Lower-Mid,Marketplace,0.49
C000233,2022-04-03,Dhaka,Business Buyer,,2,Mid,Broker Network,0.824
C000234,2024-03-15,Khulna,End-User,28.0,4,Upper-Mid,Paid Search,0.617
C000235,2024-10-30,Dhaka,End-User,34.0,1,Lower-Mid,Organic,0.386
C000236,2022-04-15,Dhaka,End-User,36.0,5,Mid,Facebook,0.641
C000237,2023-03-18,Dhaka,End-User,39.0,4,,Paid Search,0.278
C000238,2023-05-15,Mymensingh,End-User,37.0,4,Upper-Mid,Referral,0.744
C000239,2022-05-20,Sylhet,End-User,31.0,1,Mid,Organic,0.654
C000240,2022-08-02,Mymensingh,End-User,29.0,2,Mid,Marketplace,0.527
C000241,2022-07-05,Chattogram,End-User,52.0,3,Lower-Mid,Broker Network,0.568
C000242,2022-07-17,Chattogram,End-User,29.0,5,High,Marketplace,0.7
C000243,2023-03-07,Chattogram,End-User,22.0,2,Mid,Email,0.535
C000244,2023-05-10,Rajshahi,End-User,19.0,7,Low,Facebook,0.187
C000245,2022-09-11,Chattogram,End-User,31.0,3,Mid,Referral,0.485
C000246,2022-11-05,Sylhet,End-User,42.0,2,Lower-Mid,Email,0.694
C000247,2022-07-24,Barishal,Business Buyer,29.0,3,Upper-Mid,Organic,0.872
C000248,2024-04-28,Rangpur,End-User,47.0,2,Upper-Mid,Organic,0.784
C000249,2022-08-14,Dhaka,End-User,34.0,2,Mid,Paid Search,0.745
C000250,2024-08-25,Khulna,End-User,44.0,5,Lower-Mid,Facebook,0.405
C000251,2023-07-29,Dhaka,Renter-to-Owner,27.0,4,Upper-Mid,Referral,0.763
C000252,2024-05-05,Dhaka,End-User,27.0,4,Upper-Mid,Paid Search,0.492
C000253,2023-11-10,Sylhet,End-User,35.0,5,Mid,Facebook,0.501
C000254,2022-10-11,Khulna,Renter-to-Owner,38.0,4,Mid,Referral,0.669
C000255,2023-10-04,Sylhet,Investor,32.0,2,Lower-Mid,Email,0.643
C000256,2022-10-20,Dhaka,End-User,37.0,5,Lower-Mid,Paid Search,0.538
C000257,2022-05-07,Mymensingh,End-User,39.0,2,High,Broker Network,0.801
C000258,2022-09-29,Mymensingh,Business Buyer,21.0,3,Mid,Marketplace,0.738
C000259,2022-10-21,Chattogram,Renter-to-Owner,31.0,4,Low,Facebook,0.326
C000260,2022-05-24,Rangpur,Investor,29.0,4,Lower-Mid,Facebook,0.636
C000261,2022-01-26,Dhaka,Renter-to-Owner,30.0,1,Lower-Mid,Organic,0.611
C000262,2024-10-03,Sylhet,Renter-to-Owner,38.0,2,,Broker Network,0.713
C000263,2023-07-02,Rangpur,End-User,29.0,4,High,Email,0.733
C000264,2023-03-05,Barishal,End-User,18.0,3,,Organic,0.421
C000265,2024-09-18,Barishal,Investor,32.0,5,Lower-Mid,Email,0.761
C000266,2022-08-28,Chattogram,End-User,24.0,5,Upper-Mid,Organic,0.663
C000267,2023-03-06,Barishal,End-User,38.0,2,Low,Email,0.431
C000268,2024-06-21,Sylhet,Renter-to-Owner,41.0,4,Lower-Mid,Facebook,0.539
C000269,2023-11-05,Dhaka,End-User,18.0,6,Mid,Paid Search,0.502
C000270,2023-03-02,Dhaka,End-User,27.0,4,Lower-Mid,Marketplace,0.389
C000271,2022-09-30,Barishal,End-User,37.0,3,Lower-Mid,Referral,0.527
C000272,2022-02-07,Rajshahi,End-User,21.0,5,Mid,Organic,0.565
C000273,2022-04-01,Khulna,Investor,41.0,3,High,Broker Network,0.82
C000274,2022-06-22,Rangpur,End-User,43.0,5,Upper-Mid,Organic,0.738
C000275,2024-04-18,Rajshahi,Investor,33.0,3,Low,Marketplace,0.606
C000276,2023-11-13,Chattogram,End-User,27.0,3,Mid,Organic,0.541
C000277,2023-04-08,Chattogram,End-User,18.0,5,,Facebook,0.453
C000278,2024-04-14,Rajshahi,Renter-to-Owner,41.0,4,Lower-Mid,Facebook,0.539
C000279,2022-06-21,Barishal,Investor,52.0,4,Lower-Mid,Facebook,0.77
C000280,2022-08-13,Khulna,End-User,50.0,1,Mid,Facebook,0.602
C000281,2023-02-23,Khulna,End-User,32.0,3,Lower-Mid,Facebook,0.526
C000282,2024-09-04,Sylhet,Investor,24.0,5,Upper-Mid,Broker Network,0.836
C000283,2023-10-17,Sylhet,Investor,42.0,3,Low,Organic,0.663
C000284,2024-06-26,Rangpur,End-User,33.0,5,Low,Broker Network,0.399
C000285,2022-09-22,Dhaka,End-User,38.0,4,Upper-Mid,Organic,0.622
C000286,2024-06-23,Barishal,Business Buyer,37.0,3,Upper-Mid,Email,0.786
C000287,2022-03-19,Khulna,Investor,35.0,5,Lower-Mid,Broker Network,0.621
C000288,2022-08-31,Dhaka,Renter-to-Owner,43.0,3,Mid,Broker Network,0.59
C000289,2023-07-12,Sylhet,End-User,44.0,3,Upper-Mid,Paid Search,0.584
C000290,2022-02-23,Sylhet,End-User,29.0,3,Lower-Mid,Email,0.443
C000291,2024-07-03,Khulna,End-User,26.0,4,Mid,Referral,0.618
C000292,2024-07-13,Barishal,Business Buyer,18.0,5,Mid,Marketplace,0.495
C000293,2023-08-01,Chattogram,End-User,31.0,2,Lower-Mid,Organic,0.435
C000294,2022-11-22,Dhaka,Renter-to-Owner,24.0,5,High,Broker Network,0.936
C000295,2022-04-16,Chattogram,End-User,38.0,4,High,Referral,0.779
C000296,2023-10-22,Chattogram,Renter-to-Owner,31.0,4,Mid,Marketplace,0.645
C000297,2023-07-28,Sylhet,Business Buyer,32.0,7,Low,Facebook,0.513
C000298,2024-03-21,Rangpur,Business Buyer,41.0,3,Upper-Mid,Paid Search,0.741
C000299,2023-10-05,Sylhet,End-User,38.0,2,,Email,0.489
C000300,2022-05-17,Dhaka,Renter-to-Owner,33.0,4,Low,Paid Search,0.396
C000301,2022-05-10,Chattogram,Investor,49.0,4,Mid,Broker Network,0.937
C000302,2024-04-12,Dhaka,End-User,41.0,5,Mid,Paid Search,0.497
C000303,2022-06-19,Sylhet,End-User,30.0,3,Low,Marketplace,0.498
C000304,2024-09-27,Dhaka,End-User,31.0,3,Lower-Mid,Facebook,0.397
C000305,2022-04-23,Khulna,End-User,41.0,2,Upper-Mid,Paid Search,0.594
C000306,2024-02-16,Barishal,Investor,36.0,2,High,Email,0.926
C000307,2024-11-05,Sylhet,End-User,24.0,3,Lower-Mid,Organic,0.496
C000308,2023-04-16,Dhaka,Investor,42.0,4,Low,Organic,0.555
C000309,2022-03-02,Chattogram,End-User,45.0,6,Lower-Mid,Email,0.469
C000310,2024-07-23,Rajshahi,Renter-to-Owner,45.0,1,Mid,Paid Search,0.492
C000311,2022-07-19,Khulna,Renter-to-Owner,48.0,4,Lower-Mid,Organic,0.609
C000312,2023-07-17,Dhaka,Renter-to-Owner,53.0,3,Mid,Facebook,0.608
C000313,2024-11-15,Rangpur,Renter-to-Owner,50.0,4,Low,Paid Search,0.498
C000314,2024-03-04,Khulna,End-User,37.0,3,Upper-Mid,Marketplace,0.57
C000315,2022-02-19,Chattogram,End-User,32.0,5,Upper-Mid,Email,0.699
C000316,2024-05-24,Dhaka,End-User,18.0,5,Upper-Mid,Email,0.674
C000317,2022-06-21,Chattogram,Investor,34.0,4,Lower-Mid,Email,0.68
C000318,2024-03-09,Chattogram,End-User,39.0,6,Mid,Email,0.718
C000319,2023-10-24,Dhaka,Renter-to-Owner,34.0,5,Lower-Mid,Paid Search,0.558
C000320,2022-11-03,Khulna,End-User,18.0,6,Lower-Mid,Referral,0.493
C000321,2023-03-28,Chattogram,Renter-to-Owner,31.0,4,Mid,Marketplace,0.723
C000322,2022-05-06,Rangpur,Investor,40.0,5,Upper-Mid,Referral,0.941
C000323,2024-11-17,Mymensingh,Renter-to-Owner,25.0,3,,Marketplace,0.822
C000324,2022-09-12,Dhaka,End-User,35.0,3,Lower-Mid,Email,0.322
C000325,2022-11-26,Dhaka,Renter-to-Owner,38.0,7,Mid,Organic,0.646
C000326,2023-06-21,Barishal,End-User,44.0,2,Lower-Mid,Facebook,0.406
C000327,2023-12-18,Mymensingh,End-User,49.0,3,Mid,Paid Search,0.389
C000328,2023-06-23,Rangpur,End-User,31.0,1,Lower-Mid,Email,0.483
