property_id,city,neighborhood_code,property_type,size_sqm,bedrooms,bathrooms,year_built,location_score,amenities_count,list_price,has_parking,near_transit,near_school
P000021,Chattogram,N195,House,88.0,4,1,2016,0.578,9.0,21022868,True,False,True
P000022,Dhaka,N119,House,161.9,5,1,2005,0.761,6.0,27741868,True,True,True
P000023,Mymensingh,N026,House,162.3,2,4,2011,0.324,8.0,9086958,True,False,False
P000024,Dhaka,N178,Apartment,78.7,3,1,2011,0.587,9.0,13126131,False,True,False
P000025,Dhaka,N107,Apartment,127.9,2,2,2015,0.638,7.0,14433101,True,True,False
P000026,Chattogram,N161,House,105.9,4,4,2005,0.613,4.0,13691783,True,True,True
P000027,Dhaka,N197,Apartment,60.4,2,1,2025,0.884,11.0,13099646,True,False,False
P000028,Dhaka,N035,Apartment,135.5,3,2,2021,0.882,8.0,21954829,True,True,False
P000029,Dhaka,N020,Apartment,93.3,1,2,2016,0.404,8.0,9350513,False,True,False
P000030,Chattogram,N187,Apartment,117.2,2,2,2015,0.635,8.0,11126028,False,False,False
P000031,Rangpur,N070,Apartment,85.8,1,2,2022,0.78,5.0,7494827,False,False,True
P000032,Chattogram,N194,Apartment,40.9,4,2,2002,0.71,7.0,7454101,False,False,True
P000033,Barishal,N086,Apartment,45.4,1,2,2016,0.598,9.0,6295273,True,False,False
P000034,Mymensingh,N061,Commercial,173.1,0,0,2004,0.546,7.0,22323705,False,False,True
P000035,Rangpur,N117,Apartment,103.3,2,1,2021,0.15,9.0,6444834,True,True,True
P000036,Rangpur,N202,Apartment,106.8,3,3,2007,0.623,7.0,5205187,False,False,True
P000037,Barishal,N164,Apartment,146.9,3,2,2016,,4.0,5983681,False,False,True
P000038,Dhaka,N176,House,131.6,3,4,2025,0.684,2.0,15976940,True,True,False
P000039,Dhaka,N193,Land,272.7,0,0,2023,0.924,8.0,24282164,False,True,False
P000040,Dhaka,N026,Land,376.3,0,0,2006,0.818,5.0,21343164,True,True,True
P000041,Sylhet,N188,Apartment,120.5,3,1,2016,0.475,7.0,8651938,False,True,True
P000042,Chattogram,N123,Apartment,135.5,3,1,2015,0.688,6.0,10923430,False,False,False
P000043,Khulna,N046,House,240.4,4,4,2014,0.828,10.0,22158784,True,True,True
P000044,Barishal,N177,Land,111.5,0,0,2025,0.576,3.0,7596059,False,False,False
P000045,Dhaka,N213,Apartment,104.6,1,1,2014,0.79,10.0,23784124,False,False,True
P000046,Rangpur,N035,Commercial,151.3,0,0,2025,0.686,4.0,16069625,False,False,False
P000047,Khulna,N205,House,70.0,3,2,2009,0.642,8.0,9124506,True,False,False
P000048,Rajshahi,N091,Apartment,98.8,0,1,2015,0.565,7.0,7684950,False,True,True
P000049,Dhaka,N023,House,181.7,3,3,2014,0.95,7.0,39127546,False,True,True
P000050,Dhaka,N184,Commercial,141.2,0,0,2016,0.95,9.0,37081688,True,False,False
P000051,Khulna,N112,Apartment,94.4,2,3,2020,0.639,7.0,5938320,True,True,True
P000052,Rangpur,N020,Commercial,340.9,0,0,2024,0.569,10.0,27509254,True,True,True
P000053,Barishal,N101,Apartment,125.8,2,2,2013,0.696,7.0,6760397,True,True,True
P000054,Barishal,N209,Commercial,127.7,0,0,2012,0.938,5.0,14436139,False,False,False
P000055,Chattogram,N004,Apartment,79.8,2,1,2014,0.725,7.0,9968848,False,False,True
P000056,Rajshahi,N214,House,76.5,4,3,2021,0.792,6.0,9253364,True,False,True
P000057,Khulna,N191,Apartment,49.0,1,1,2004,0.49,8.0,6735872,True,False,True
P000058,Dhaka,N080,Apartment,92.1,1,2,2010,0.802,,15262834,True,True,True
P000059,Khulna,N171,Apartment,80.2,3,2,2025,0.874,10.0,7372267,False,False,True
P000060,Dhaka,N080,Apartment,115.9,2,3,1997,0.887,11.0,20973367,False,True,False
P000061,Sylhet,N114,House,120.6,2,2,2021,0.833,6.0,17231628,True,True,True
P000062,Rangpur,N205,Commercial,316.2,0,0,2024,0.592,9.0,26880037,False,True,True
P000063,Rangpur,N056,House,214.7,4,2,2022,0.543,12.0,18109393,False,False,True
P000064,Chattogram,N179,Land,448.3,0,0,2010,0.838,7.0,26014352,True,True,True
P000065,Rajshahi,N069,Apartment,115.2,3,2,2022,0.511,5.0,8648231,False,True,True
P000066,Sylhet,N080,House,149.7,5,4,2019,0.863,6.0,12305720,False,True,True
P000067,Rajshahi,N108,Apartment,101.6,0,2,2019,0.785,6.0,9568249,False,True,False
P000068,Dhaka,N051,Land,153.6,0,0,2005,0.95,8.0,19190342,False,False,True
P000069,Khulna,N021,House,145.9,4,4,2012,,10.0,15480462,False,True,True
P000070,Khulna,N037,Land,343.6,0,0,2015,0.47,2.0,12059312,True,True,False
P000071,Barishal,N187,Land,180.8,0,0,2025,,10.0,6610468,True,True,False
P000072,Barishal,N094,Apartment,110.3,1,1,2004,0.666,8.0,9565227,False,True,False
P000073,Rajshahi,N164,House,141.1,4,1,2013,0.471,9.0,10326357,True,False,True
P000074,Dhaka,N009,Land,144.4,0,0,2017,0.852,8.0,17357125,True,False,True
P000075,Khulna,N134,Apartment,80.9,4,1,2014,0.904,6.0,11945849,True,False,True
P000076,Rangpur,N107,House,132.0,4,3,2015,0.909,8.0,19165735,True,True,False
P000077,Dhaka,N039,Apartment,106.8,3,1,2001,0.709,10.0,20151846,False,True,True
P000078,Rangpur,N044,Apartment,81.1,1,2,2016,0.421,11.0,6381158,False,False,False
P000079,Dhaka,N012,House,206.5,2,5,2005,0.621,10.0,36379210,True,True,False
P000080,Mymensingh,N086,Apartment,102.1,2,2,2014,0.473,7.0,7003517,True,False,True
P000081,Mymensingh,N070,Land,289.4,0,0,2013,0.498,10.0,15127733,True,False,False
P000082,Mymensingh,N051,House,117.8,3,4,2025,0.659,10.0,15067310,True,False,True
P000083,Chattogram,N172,Apartment,92.4,3,2,1995,0.54,,6928182,True,False,False
P000084,Rangpur,N032,Land,196.2,0,0,1997,0.353,4.0,7430330,True,False,True
P000085,Chattogram,N006,House,181.2,4,3,2009,,6.0,14310456,True,True,True
P000086,Dhaka,N168,Apartment,71.5,2,1,2021,0.95,8.0,19439638,True,False,True
P000087,Chattogram,N051,Land,60.0,0,0,2016,0.789,,9758805,True,False,True
P000088,Barishal,N134,Apartment,91.7,2,1,2014,0.453,4.0,5821153,False,True,False
P000089,Dhaka,N159,Apartment,77.2,2,2,2025,0.806,5.0,16643007,False,False,False
P000090,Chattogram,N151,Commercial,192.5,0,0,2007,0.673,8.0,30099359,False,True,True
P000091,Rajshahi,N001,Apartment,120.4,2,1,2009,0.577,5.0,6467206,True,True,False
P000092,Barishal,N126,Apartment,92.7,1,3,2018,,7.0,7411993,True,True,False
P000093,Dhaka,N068,Commercial,255.2,0,0,2017,,8.0,65266819,False,True,True
P000094,Dhaka,N178,Apartment,95.1,2,1,2008,0.578,3.0,11820394,False,False,True
P000095,Dhaka,N077,Apartment,75.1,3,2,2010,0.752,8.0,9085288,False,True,True
P000096,Rajshahi,N192,Apartment,126.0,2,2,2008,0.547,7.0,8586318,False,True,True
P000097,Rajshahi,N142,House,115.6,1,2,2004,0.42,,10197495,False,True,True
P000098,Chattogram,N135,Apartment,104.5,2,2,2010,0.836,6.0,11875319,True,True,True
P000099,Khulna,N053,House,189.3,4,2,1998,0.825,9.0,12042493,True,True,False
P000100,Chattogram,N081,House,170.6,6,2,2013,0.685,6.0,17341205,True,True,False
P000101,Dhaka,N128,Apartment,87.9,3,1,2013,0.865,8.0,15693213,False,False,True
P000102,Dhaka,N106,House,121.7,3,3,2015,0.642,8.0,28551828,False,True,False
P000103,Khulna,N210,Apartment,97.9,1,3,2024,0.741,,6380270,True,True,False
P000104,Mymensingh,N207,Commercial,156.4,0,0,2013,0.616,12.0,18045852,False,True,True
P000105,Chattogram,N015,Commercial,258.1,0,0,2007,0.554,9.0,28415118,False,False,True
P000106,Khulna,N219,House,183.2,3,3,2012,,8.0,18123205,False,True,True
P000107,Barishal,N017,Apartment,79.0,3,2,2006,0.62,,8057397,True,True,True
P000108,Khulna,N147,Apartment,102.3,3,2,2018,0.697,8.0,9804215,False,True,True
P000109,Dhaka,N112,House,169.8,5,3,2020,0.339,7.0,19128469,False,False,False
P000110,Chattogram,N037,Apartment,116.7,2,2,2021,0.604,14.0,12086504,False,False,False
P000111,Dhaka,N205,Apartment,40.5,3,1,2025,0.915,4.0,11430923,True,False,True
P000112,Mymensingh,N175,Apartment,96.0,3,1,2001,0.604,9.0,10470527,True,False,False
P000113,Mymensingh,N142,House,177.8,3,2,2010,0.416,,12840617,True,False,False
P000114,Dhaka,N045,Apartment,97.5,3,3,2025,0.882,11.0,17670432,True,True,True
P000115,Khulna,N033,Apartment,85.6,2,2,2022,0.714,8.0,7124375,False,False,True
P000116,Dhaka,N042,Land,253.4,0,0,2018,,3.0,12208991,False,True,False
P000117,Dhaka,N049,Commercial,205.2,0,0,2013,0.506,9.0,38431287,True,True,False
P000118,Dhaka,N200,Apartment,127.7,3,2,2024,0.834,11.0,16715147,False,True,False
P000119,Dhaka,N086,House,132.1,1,2,2011,0.661,8.0,22638641,True,True,False
P000120,Rajshahi,N019,Apartment,106.5,2,1,2010,0.151,10.0,7467251,False,False,False
P000121,Chattogram,N037,Land,254.2,0,0,2016,0.476,11.0,15979187,True,False,True
P000122,Sylhet,N100,Land,200.3,0,0,2013,0.56,9.0,9254677,True,True,False
P000123,Mymensingh,N044,Apartment,93.5,3,1,2009,0.908,7.0,10062777,True,True,True
P000124,Rangpur,N173,House,190.6,2,2,2009,0.735,11.0,20530813,True,True,True
P000125,Dhaka,N033,Apartment,121.1,2,1,2022,0.47,9.0,17728402,False,True,False
P000126,Chattogram,N136,Apartment,107.8,3,3,2025,0.555,7.0,9990979,True,False,True
P000127,Mymensingh,N074,Apartment,90.2,2,2,2018,0.85,9.0,8724625,True,False,False
P000128,Mymensingh,N201,Land,164.8,0,0,2009,0.435,8.0,6413935,True,False,True
P000129,Sylhet,N094,Apartment,91.9,1,2,2013,0.735,8.0,10544445,True,False,False
P000130,Dhaka,N100,Land,173.2,0,0,2006,0.582,4.0,14443024,True,True,True
P000131,Chattogram,N176,House,152.7,5,5,2004,0.608,10.0,20860638,True,False,False
P000132,Dhaka,N001,Apartment,89.1,2,2,2016,0.431,10.0,16182250,True,False,True
P000133,Dhaka,N155,House,103.2,3,4,2013,0.674,5.0,19926198,False,False,False
P000134,Dhaka,N002,Apartment,109.9,1,1,2024,0.672,9.0,12800797,True,True,True
P000135,Sylhet,N021,Apartment,85.2,1,2,2020,0.558,9.0,8559220,False,False,True
P000136,Sylhet,N207,Apartment,114.4,2,2,1999,,4.0,9377611,False,True,True
P000137,Khulna,N165,House,220.5,3,2,2025,0.754,7.0,21002936,True,True,False
P000138,Mymensingh,N181,Land,243.0,0,0,2011,0.483,8.0,15550103,False,False,True
P000139,Barishal,N156,House,238.5,3,4,2010,0.464,11.0,23207099,True,False,True
P000140,Chattogram,N074,Commercial,113.7,0,0,2012,0.802,8.0,29193850,False,False,False
P000141,Rangpur,N108,Apartment,105.2,2,3,2013,0.443,12.0,6014371,True,False,False
P000142,Dhaka,N005,Apartment,153.3,3,1,2003,0.647,7.0,20552701,True,True,False
P000143,Chattogram,N130,House,126.2,5,2,2018,0.834,6.0,21241686,False,True,False
P000144,Dhaka,N095,Apartment,86.1,3,1,2010,0.651,,14573358,False,True,False
P000145,Mymensingh,N011,Apartment,112.9,2,2,2005,0.509,8.0,5911283,True,False,False
P000146,Dhaka,N021,House,128.7,6,2,2022,0.608,,17996110,False,True,True
P000147,Dhaka,N061,Apartment,49.4,2,1,2005,0.579,6.0,11045457,False,True,False
P000148,Barishal,N053,Apartment,67.1,3,3,2017,0.789,6.0,5139640,True,False,False
P000149,Mymensingh,N190,Land,249.1,0,0,2010,0.649,5.0,13036063,True,True,True
P000150,Rangpur,N143,Apartment,53.8,2,3,2024,0.574,5.0,5980975,False,False,False
P000151,Chattogram,N068,House,180.8,3,4,2019,0.643,7.0,21455759,True,False,True
P000152,Mymensingh,N184,Commercial,123.8,0,0,2022,0.733,10.0,16075817,False,True,False
P000153,Dhaka,N108,House,142.5,5,3,1998,0.638,11.0,22463121,True,True,False
P000154,Dhaka,N102,House,171.2,3,2,2009,0.718,8.0,21789187,True,True,True
P000155,Dhaka,N080,Apartment,133.5,1,2,2012,0.57,,12446918,True,True,True
P000156,Dhaka,N086,Apartment,118.4,1,3,2017,0.95,9.0,20388091,False,False,True
P000157,Rajshahi,N009,House,107.8,2,3,2024,0.687,10.0,12349879,True,True,True
P000158,Sylhet,N190,Apartment,63.6,2,3,2000,0.412,9.0,8164480,False,False,True
P000159,Rajshahi,N064,House,244.6,3,2,2016,0.527,,14524887,False,True,True
P000160,Khulna,N013,Apartment,93.2,3,3,2007,0.516,7.0,5394677,True,False,True
P000161,Rajshahi,N049,Apartment,131.4,3,2,2012,0.587,6.0,10152093,True,True,False
P000162,Rangpur,N042,Apartment,115.8,2,2,2005,0.912,6.0,7592988,True,True,False
P000163,Chattogram,N115,Apartment,83.6,2,3,2025,0.595,9.0,9998500,True,False,True
P000164,Chattogram,N219,House,202.0,4,3,2020,0.638,5.0,17743745,True,False,False
P000165,Rangpur,N216,Apartment,64.5,2,3,2012,0.501,7.0,6030011,True,False,True
P000166,Dhaka,N153,Apartment,143.8,3,3,2009,0.74,,23333210,False,True,True
P000167,Dhaka,N140,Apartment,94.3,0,2,2020,0.607,11.0,12238699,False,True,True
P000168,Chattogram,N071,House,147.1,6,2,2012,0.547,5.0,12510147,True,True,False
P000169,Rajshahi,N143,House,112.5,2,2,2017,0.538,11.0,10283209,False,False,False
P000170,Dhaka,N141,Apartment,95.9,2,2,2017,0.73,,15640471,False,True,False
P000171,Dhaka,N131,House,214.3,3,3,2010,0.688,4.0,21120259,True,False,False
P000172,Chattogram,N182,House,196.2,4,3,2019,0.658,6.0,18167317,True,True,True
P000173,Chattogram,N181,Apartment,85.7,2,2,2009,0.802,6.0,7223118,True,False,True
P000174,Mymensingh,N163,Apartment,75.0,3,1,2005,,5.0,6199868,False,False,True
P000175,Khulna,N050,House,131.3,3,1,2016,0.642,8.0,16080186,True,False,False
P000176,Rangpur,N057,Apartment,130.8,2,1,2022,0.803,10.0,8248886,True,False,False
P000177,Chattogram,N046,Commercial,200.7,0,0,2004,0.844,8.0,28395410,False,True,False
P000178,Rajshahi,N086,House,161.2,3,3,2025,0.643,7.0,14709908,False,True,True
P000179,Khulna,N201,Apartment,65.4,2,3,2005,0.72,12.0,9355335,True,False,False
P000180,Dhaka,N040,House,254.3,1,2,2016,0.914,6.0,35031550,True,False,False
P000181,Dhaka,N092,Apartment,147.7,2,2,2025,0.594,8.0,15928878,True,False,True
P000182,Dhaka,N011,House,136.3,2,1,2003,0.657,7.0,20759107,False,False,False
P000183,Dhaka,N206,Land,395.0,0,0,2005,,5.0,24626571,False,False,True
P000184,Sylhet,N214,Apartment,74.0,3,1,2025,0.581,6.0,7936354,True,True,True
P000185,Rangpur,N186,Apartment,52.1,1,2,2025,0.483,9.0,4861142,True,True,True
P000186,Chattogram,N153,Apartment,123.5,4,1,2000,0.597,12.0,12268560,False,False,True
P000187,Dhaka,N107,Apartment,35.0,2,2,2008,0.802,9.0,12268407,True,False,False
P000188,Dhaka,N132,Apartment,97.3,4,1,2010,0.655,5.0,13474752,True,True,True
P000189,Khulna,N011,Apartment,111.9,1,2,2009,0.64,6.0,6944837,True,True,False
P000190,Chattogram,N071,Apartment,63.6,4,1,2017,0.546,8.0,8789050,True,False,True
P000191,Mymensingh,N110,Commercial,112.8,0,0,2015,0.745,6.0,14896571,True,False,True
P000192,Rangpur,N135,Apartment,87.0,2,2,2002,0.371,9.0,4453679,False,True,True
P000193,Mymensingh,N035,Apartment,104.1,0,2,2025,0.581,9.0,10949827,True,False,True
P000194,Rajshahi,N122,Apartment,109.9,1,1,2003,0.771,7.0,8044749,True,True,False
P000195,Rangpur,N013,House,182.7,5,4,2019,0.566,1.0,9639807,True,False,True
P000196,Barishal,N209,Commercial,169.5,0,0,1995,0.482,8.0,17025450,False,False,False
P000197,Dhaka,N151,Apartment,72.3,3,1,2006,0.897,10.0,13223177,True,True,True
P000198,Rajshahi,N118,Land,180.5,0,0,2005,0.5,8.0,10257092,False,False,False
P000199,Khulna,N028,Land,246.8,0,0,2025,0.572,11.0,14349225,True,True,False
P000200,Khulna,N138,Apartment,122.4,2,3,2009,0.564,,9336643,True,False,False
P000201,Chattogram,N015,Apartment,90.8,0,2,2017,0.592,7.0,11736949,False,False,False
P000202,Dhaka,N118,Commercial,201.3,0,0,2020,0.899,7.0,39487537,False,True,True
P000203,Barishal,N050,Land,78.2,0,0,2019,0.378,6.0,3488064,False,True,False
P000204,Dhaka,N083,House,103.3,3,1,2010,0.61,6.0,18579110,False,True,True
P000205,Dhaka,N137,Apartment,71.3,3,2,2011,0.7,8.0,11075391,True,False,True
P000206,Barishal,N005,Apartment,111.5,2,2,2019,0.701,5.0,6696490,True,False,True
P000207,Rangpur,N015,Apartment,123.4,4,1,2015,0.436,6.0,7608439,True,False,True
P000208,Mymensingh,N135,Apartment,122.9,3,2,2025,0.719,7.0,13105386,False,True,False
P000209,Mymensingh,N213,House,211.4,3,2,1995,0.685,7.0,15058768,True,False,True
P000210,Dhaka,N157,Apartment,51.8,3,1,2023,,10.0,11099126,True,True,True
P000211,Khulna,N174,House,250.7,4,2,2016,0.524,6.0,17961066,True,True,True
P000212,Dhaka,N112,House,194.9,3,2,2025,0.678,1.0,31347572,True,True,False
P000213,Khulna,N039,Commercial,146.8,0,0,2025,0.799,11.0,20687597,False,False,False
P000214,Sylhet,N152,House,170.2,4,2,2013,0.823,6.0,23748739,True,True,False
P000215,Mymensingh,N209,Commercial,281.5,0,0,2018,0.743,7.0,19598061,True,False,False
P000216,Mymensingh,N028,Apartment,67.1,2,3,2011,0.532,10.0,6302663,False,False,False
P000217,Khulna,N218,Commercial,299.3,0,0,2022,0.659,11.0,36949464,False,False,False
P000218,Chattogram,N061,House,177.2,1,4,2023,0.715,8.0,14988387,True,True,False
P000219,Chattogram,N160,House,245.6,4,2,2011,0.482,7.0,21640714,True,True,False
P000220,Khulna,N198,Apartment,116.7,2,2,2020,0.592,7.0,6650369,False,False,False
P000221,Dhaka,N207,Apartment,86.2,1,2,2014,0.95,5.0,10489103,False,True,True
P000222,Chattogram,N215,Apartment,89.3,2,3,2007,0.491,8.0,13135402,False,True,True
P000223,Dhaka,N037,Apartment,57.1,2,1,2017,0.771,5.0,12938657,True,True,True
P000224,Dhaka,N020,Apartment,84.0,3,4,2019,0.724,8.0,13521565,True,False,True
P000225,Mymensingh,N069,House,173.6,4,1,2019,0.476,12.0,20006452,False,True,False
P000226,Chattogram,N051,Apartment,130.4,3,2,2007,0.786,4.0,12727312,False,True,True
P000227,Chattogram,N189,Apartment,67.9,2,2,2012,0.583,9.0,11321452,False,True,False
P000228,Sylhet,N162,Apartment,127.4,2,1,2001,0.813,7.0,11099900,True,False,True
P000229,Khulna,N029,Commercial,60.0,0,0,2015,0.95,6.0,13593699,False,False,False
P000230,Rangpur,N047,Apartment,41.2,3,2,2015,0.629,7.0,4821482,False,False,True
P000231,Rangpur,N077,Apartment,76.5,3,2,2003,0.911,8.0,7402665,True,False,False
P000232,Dhaka,N192,Apartment,59.4,2,3,2003,,14.0,10375284,True,False,True
P000233,Chattogram,N020,House,159.8,3,4,2019,0.324,9.0,17519898,True,True,False
P000234,Dhaka,N043,Apartment,60.7,3,1,2024,0.672,9.0,15546299,True,False,False
P000235,Mymensingh,N078,Land,62.5,0,0,2007,0.611,6.0,4523762,False,False,True
P000236,Dhaka,N199,Apartment,102.2,2,2,2013,0.95,5.0,14062960,False,True,False
P000237,Barishal,N101,Apartment,59.5,1,1,2002,0.638,6.0,4143352,True,False,True
P000238,Rangpur,N181,Apartment,132.0,2,2,2021,0.271,11.0,7510292,False,False,True
P000239,Rangpur,N184,Commercial,234.6,0,0,2025,0.689,,36767855,True,True,True
P000240,Rajshahi,N055,Apartment,95.4,2,2,2005,0.636,8.0,8050158,True,True,True
P000241,Khulna,N094,Apartment,50.8,5,3,2003,0.591,8.0,7878428,True,False,True
P000242,Rajshahi,N122,Land,214.3,0,0,2012,,7.0,8431853,False,True,False
P000243,Dhaka,N095,Commercial,125.8,0,0,2016,0.904,8.0,35478218,False,False,False
P000244,Dhaka,N102,Commercial,145.4,0,0,2004,0.746,9.0,29121978,False,True,False
P000245,Barishal,N151,Apartment,116.9,1,3,2004,0.651,6.0,8148339,False,True,True
P000246,Khulna,N153,House,173.4,2,3,2022,0.54,9.0,11615910,False,False,False
P000247,Mymensingh,N091,House,80.8,2,2,2001,,12.0,13381326,True,False,False
P000248,Dhaka,N080,House,219.6,4,1,2002,0.75,7.0,32937978,True,True,False
P000249,Dhaka,N084,Apartment,93.5,3,2,2013,0.63,7.0,14369184,False,False,True
P000250,Khulna,N091,Apartment,148.2,2,2,2025,0.644,7.0,9105671,True,True,False
P000251,Dhaka,N096,Apartment,103.5,3,1,2010,0.397,10.0,13724417,False,True,False
P000252,Sylhet,N129,House,221.6,2,2,2004,0.637,4.0,22524306,False,False,True
P000253,Dhaka,N072,House,146.9,2,2,2018,0.711,10.0,22593783,True,True,True
P000254,Khulna,N103,Commercial,75.2,0,0,2023,0.63,8.0,16343191,True,True,False
P000255,Dhaka,N061,House,184.7,5,2,2025,0.757,8.0,28138238,False,True,True
P000256,Chattogram,N173,Land,187.1,0,0,2017,0.747,7.0,16557140,True,False,False
P000257,Khulna,N199,Commercial,107.4,0,0,2019,0.709,,14926342,False,True,True
P000258,Khulna,N061,Apartment,89.4,2,2,2019,0.59,5.0,6527373,True,False,True
P000259,Mymensingh,N071,Apartment,48.5,2,1,2016,0.77,5.0,7502270,False,True,False
P000260,Sylhet,N082,Commercial,183.8,0,0,2025,0.607,5.0,19633100,False,True,False
P000261,Khulna,N179,House,152.8,4,1,2015,0.404,3.0,12294631,True,True,True
P000262,Rajshahi,N199,Apartment,107.2,2,1,2013,0.733,11.0,10742264,True,True,True
P000263,Sylhet,N069,Apartment,57.5,3,1,2021,,7.0,7274107,True,False,False
P000264,Mymensingh,N048,Apartment,91.7,3,1,2016,0.561,9.0,5714578,True,False,True
P000265,Dhaka,N144,Apartment,112.8,4,2,2025,0.95,9.0,19106135,True,False,False
P000266,Sylhet,N084,Land,259.8,0,0,2025,0.585,7.0,10179590,False,True,True
P000267,Dhaka,N161,Apartment,77.2,1,1,2006,0.767,10.0,10540116,False,False,False
P000268,Dhaka,N050,Apartment,132.9,2,1,2021,0.887,11.0,25659464,True,True,True
P000269,Sylhet,N187,Land,134.2,0,0,2014,0.536,7.0,9495856,True,True,False
P000270,Khulna,N043,Land,250.4,0,0,2017,0.738,5.0,8649489,True,False,True
P000271,Barishal,N149,Apartment,92.8,1,4,2023,0.648,11.0,5412611,False,False,False
P000272,Chattogram,N138,Apartment,77.2,2,2,2012,0.879,4.0,9449750,False,True,True
P000273,Dhaka,N072,Apartment,72.2,3,1,2007,,10.0,16990412,True,True,False
P000274,Rajshahi,N147,Apartment,51.9,3,2,2009,0.518,8.0,5025853,True,True,True
P000275,Khulna,N031,Apartment,64.9,3,2,2013,0.666,,6994825,True,False,True
P000276,Dhaka,N212,House,219.7,2,2,1998,0.564,4.0,20385429,False,True,True
P000277,Chattogram,N145,Apartment,96.6,0,2,2011,0.87,10.0,13620377,False,True,False
P000278,Khulna,N086,Apartment,135.3,3,2,2014,0.575,7.0,8891719,True,True,False
P000279,Dhaka,N020,Apartment,100.0,3,3,2021,0.95,6.0,12764877,False,True,True
P000280,Sylhet,N108,Apartment,94.6,2,2,2009,0.461,,6787761,False,False,True
P000281,Rajshahi,N074,Apartment,76.2,3,1,2017,0.787,10.0,8580357,False,False,True
P000282,Dhaka,N121,Apartment,146.7,2,2,2015,0.68,9.0,19623863,False,True,False
P000283,Khulna,N172,House,243.5,2,5,2021,0.524,8.0,16662554,False,False,False
P000284,Dhaka,N058,House,135.1,4,1,2023,0.791,5.0,24905445,False,True,False
P000285,Rangpur,N120,Apartment,152.2,1,2,2011,0.642,6.0,8413826,True,False,True
P000286,Chattogram,N154,House,144.1,2,2,2023,0.76,8.0,28976665,False,True,False
P000287,Dhaka,N121,Land,284.6,0,0,2022,0.608,4.0,21422994,False,False,True
P000288,Rajshahi,N211,House,241.9,3,5,2011,0.372,10.0,18143039,False,False,False
P000289,Dhaka,N002,House,145.0,1,2,2022,0.824,10.0,27582466,True,False,True
P000290,Mymensingh,N037,House,112.4,3,3,2016,0.513,10.0,12717541,True,True,False
P000291,Dhaka,N080,Apartment,68.4,3,2,2020,0.728,9.0,12650691,True,True,False
P000292,Dhaka,N210,Commercial,313.4,0,0,2019,0.818,6.0,47669106,True,False,True
P000293,Mymensingh,N101,House,108.6,3,6,2010,,5.0,8231990,True,False,True
P000294,Mymensingh,N060,House,273.6,1,3,2009,0.588,10.0,28843953,True,False,True
P000295,Dhaka,N204,House,260.7,3,2,2025,0.631,8.0,26278560,True,False,True
P000296,Chattogram,N135,Apartment,43.3,3,1,2010,0.845,10.0,12589395,True,False,True
P000297,Mymensingh,N203,Apartment,66.5,3,2,1998,0.743,11.0,6625989,True,False,False
P000298,Dhaka,N104,House,122.0,3,3,2008,0.904,12.0,25421441,True,True,True
P000299,Rangpur,N164,House,233.9,3,3,2024,0.442,5.0,14047723,True,True,False
P000300,Khulna,N092,Land,127.3,0,0,2025,0.516,10.0,7804635,False,True,False
P000301,Barishal,N006,Apartment,102.6,3,3,2023,0.558,4.0,5028088,False,True,False
P000302,Rajshahi,N016,Apartment,135.4,2,2,2011,0.675,7.0,10484957,True,True,True
P000303,Barishal,N071,Apartment,104.6,4,2,2011,0.889,5.0,7357062,False,False,False
P000304,Chattogram,N076,Apartment,39.5,2,2,2017,0.679,9.0,9620453,False,False,True
