listing_id,property_id,agent_id,listing_date,listing_channel,listed_price,sold_flag,days_on_market,close_date
L0000078,P002282,A00177,2022-04-24,Open,28930143,False,83,
L0000079,P000907,A00191,2024-03-21,Exclusive,20920024,False,79,
L0000080,P001384,A00055,2022-11-06,Open,8628911,True,49,2022-12-25
L0000081,P001261,A00266,2023-11-07,Partner,20780862,True,3,2023-11-10
L0000082,P001423,A00158,2023-06-23,Exclusive,6365287,False,106,
L0000083,P000524,A00251,2022-04-23,Exclusive,18504876,True,65,2022-06-27
L0000084,P000473,A00122,2022-05-03,Exclusive,9471130,True,3,2022-05-06
L0000085,P000744,A00084,2024-09-29,Partner,8038462,True,9,2024-10-08
L0000086,P002219,A00189,2022-03-07,Open,6930440,False,75,
L0000087,P004251,A00043,2022-12-03,Open,12828823,True,22,2022-12-25
L0000088,P004125,A00293,2024-02-16,Open,5508147,True,29,2024-03-16
L0000089,P002210,A00001,2022-03-08,Exclusive,26458972,False,42,
L0000090,P001880,A00228,2023-12-03,Exclusive,14933688,False,202,
L0000091,P002627,A00181,2024-03-13,Exclusive,10325062,False,111,
L0000092,P002248,A00065,2023-01-05,Exclusive,10080321,True,44,2023-02-18
L0000093,P003797,A00125,2022-04-14,Open,13191442,True,32,2022-05-16
L0000094,P000117,A00041,2022-12-12,Exclusive,39542349,True,50,2023-01-31
L0000095,P002072,A00100,2022-04-08,Open,23597742,False,99,
L0000096,P000439,A00025,2022-11-26,Open,15080060,False,7,
L0000097,P003682,A00299,2023-02-25,Open,9473764,False,137,
L0000098,P000282,A00242,2022-08-19,Partner,20285343,False,141,
L0000099,P001356,A00160,2023-10-09,Open,8259007,False,133,
L0000100,P002236,A00254,2024-02-28,Partner,7471181,True,56,2024-04-24
L0000101,P004015,A00172,2023-02-03,Exclusive,19670674,True,71,2023-04-15
L0000102,P002017,A00055,2022-03-27,Exclusive,7393522,False,106,
L0000103,P002733,A00089,2022-09-18,Partner,9515451,True,44,2022-11-01
L0000104,P000010,A00174,2022-03-25,Open,14645973,False,103,
L0000105,P001204,A00270,2022-06-06,Exclusive,11492224,False,63,
L0000106,P004081,A00052,2023-06-11,Open,16822210,False,76,
L0000107,P001087,A00290,2022-01-11,Partner,15415108,False,118,
L0000108,P002801,A00255,2023-02-05,Open,14264886,True,7,2023-02-12
L0000109,P002463,A00017,2023-01-26,Exclusive,7674588,False,74,
L0000110,P001559,A00135,2023-11-05,Partner,18776447,False,203,
L0000111,P000156,A00268,2023-10-01,Open,20324429,False,60,
L0000112,P001974,A00238,2022-10-27,Exclusive,21333556,True,46,2022-12-12
L0000113,P002516,A00196,2023-05-31,Partner,10982886,True,46,2023-07-16
L0000114,P004499,A00290,2024-03-23,Exclusive,26850034,True,118,2024-07-19
L0000115,P003291,A00151,2022-08-25,Open,12522762,False,118,
L0000116,P002150,A00103,2023-12-05,Partner,9674656,True,83,2024-02-26
L0000117,P001650,A00214,2023-06-08,Exclusive,8470024,True,32,2023-07-10
L0000118,P003532,A00174,2024-11-06,Open,18009279,False,121,
L0000119,P004263,A00085,2022-01-23,Open,7927546,True,30,2022-02-22
L0000120,P001870,A00286,2024-06-17,Open,7854304,False,15,
L0000121,P001855,A00116,2024-03-23,Exclusive,7748541,False,44,
L0000122,P002331,A00268,2022-01-28,Partner,20225141,False,164,
L0000123,P001637,A00131,2024-11-24,Exclusive,23856939,True,69,2025-02-01
L0000124,P003187,A00295,2022-01-16,Exclusive,18404081,True,57,2022-03-14
L0000125,P002659,A00226,2024-08-23,Open,12795099,True,55,2024-10-17
L0000126,P001248,A00162,2022-05-06,Exclusive,7256860,True,34,2022-06-09
L0000127,P001237,A00270,2022-08-11,Open,9014717,True,27,2022-09-07
L0000128,P003876,A00168,2022-05-28,Partner,9797276,True,6,2022-06-03
L0000129,P001054,A00068,2022-11-01,Open,42561869,False,7,
L0000130,P001276,A00102,2023-07-05,Exclusive,14161452,False,7,
L0000131,P003880,A00255,2023-06-09,Partner,28775307,True,110,2023-09-27
L0000132,P003416,A00055,2022-08-14,Open,16209660,False,89,
L0000133,P000590,A00224,2022-09-25,Partner,9221330,True,3,2022-09-28
L0000134,P003475,A00060,2024-01-06,Partner,15982323,False,168,
L0000135,P000560,A00030,2024-07-02,Open,15846377,False,67,
L0000136,P000166,A00300,2024-09-03,Open,23749062,True,28,2024-10-01
L0000137,P002931,A00211,2023-01-30,Open,54551438,False,92,
L0000138,P002017,A00124,2023-02-08,Open,7089428,True,15,2023-02-23
L0000139,P000036,A00251,2022-09-27,Exclusive,5017420,True,56,2022-11-22
L0000140,P003939,A00256,2022-05-08,Exclusive,8748246,True,43,2022-06-20
L0000141,P002547,A00296,2022-10-20,Open,30029379,False,101,
L0000142,P004062,A00202,2022-07-02,Open,7367459,True,46,2022-08-17
L0000143,P000483,A00276,2024-12-19,Open,8762279,True,26,2025-01-14
L0000144,P001040,A00148,2024-09-16,Open,19664963,False,116,
L0000145,P004247,A00054,2024-01-20,Exclusive,9957266,True,42,2024-03-02
L0000146,P002666,A00204,2024-03-03,Open,6174607,False,76,
L0000147,P000732,A00267,2024-05-31,Partner,29051005,True,69,2024-08-08
L0000148,P000700,A00110,2023-05-14,Open,6951214,False,40,
L0000149,P002132,A00027,2022-08-18,Partner,13125440,True,58,2022-10-15
L0000150,P003537,A00144,2023-11-29,Open,31386055,False,44,
L0000151,P002045,A00018,2022-05-16,Open,6854360,True,49,2022-07-04
L0000152,P000491,A00218,2023-10-07,Exclusive,13999227,True,47,2023-11-23
L0000153,P001236,A00187,2023-09-24,Open,10774455,True,24,2023-10-18
L0000154,P003990,A00068,2022-12-04,Exclusive,21187363,False,42,
L0000155,P003461,A00197,2022-08-28,Open,22611434,True,26,2022-09-23
L0000156,P003427,A00088,2022-05-03,Exclusive,7227508,False,90,
L0000157,P001624,A00131,2022-09-24,Open,5608039,False,111,
L0000158,P002102,A00174,2022-10-31,Exclusive,7475189,True,47,2022-12-17
L0000159,P001327,A00207,2024-09-20,Exclusive,30074062,False,7,
L0000160,P002522,A00161,2023-10-20,Open,11670815,True,60,
L0000161,P001088,A00295,2022-11-21,Exclusive,23248178,True,38,2022-12-29
L0000162,P002291,A00294,2023-08-02,Open,14268887,True,36,2023-09-07
L0000163,P002459,A00092,2022-08-20,Exclusive,15342230,True,78,2022-11-06
L0000164,P000883,A00120,2023-09-04,Open,21974105,False,149,
L0000165,P001719,A00120,2023-11-25,Open,15474708,False,45,
L0000166,P001897,A00010,2022-05-29,Exclusive,8398759,True,61,2022-07-29
L0000167,P003807,A00201,2024-07-07,Exclusive,15815815,False,7,
L0000168,P002424,A00177,2022-10-29,Open,15331718,True,26,2022-11-24
L0000169,P001240,A00141,2022-12-04,Exclusive,7731180,True,55,2023-01-28
L0000170,P000463,A00268,2023-03-12,Open,9649268,True,38,2023-04-19
L0000171,P001160,A00013,2022-04-19,Exclusive,9181793,False,66,
L0000172,P000168,A00132,2022-03-26,Exclusive,10963009,False,57,
L0000173,P003138,A00046,2024-05-24,Exclusive,7442377,True,55,2024-07-18
L0000174,P000880,A00104,2024-11-17,Partner,6612001,False,122,
L0000175,P002263,A00124,2023-03-31,Exclusive,18081546,True,49,2023-05-19
L0000176,P004023,A00125,2022-05-16,Exclusive,15255072,True,90,2022-08-14
L0000177,P001849,A00122,2024-01-07,Exclusive,18956591,True,55,2024-03-02
L0000178,P001164,A00115,2022-05-31,Open,10101298,True,25,2022-06-25
L0000179,P001249,A00054,2024-06-10,Exclusive,10181546,True,30,2024-07-10
L0000180,P002909,A00081,2023-12-03,Partner,10651131,False,51,
L0000181,P003416,A00018,2024-12-03,Exclusive,15917161,False,136,
L0000182,P003900,A00293,2023-09-07,Partner,13049170,True,41,2023-10-18
L0000183,P002532,A00259,2022-07-31,Open,21437468,False,158,
L0000184,P000946,A00158,2023-07-29,Exclusive,12624393,True,90,2023-10-27
L0000185,P001921,A00274,2024-06-29,Exclusive,16683665,True,49,2024-08-17
L0000186,P003301,A00130,2023-06-15,Exclusive,10709007,False,162,
L0000187,P001239,A00214,2024-02-15,Open,35741054,False,49,
L0000188,P002650,A00252,2024-05-29,Exclusive,5025801,True,39,2024-07-07
L0000189,P002853,A00288,2022-07-09,Open,11422275,False,122,
L0000190,P004087,A00166,2022-02-11,Exclusive,15273559,False,122,
L0000191,P001823,A00065,2024-08-18,Exclusive,8300919,False,64,
L0000192,P001763,A00054,2024-01-02,Open,17272396,True,39,2024-02-10
L0000193,P003643,A00141,2022-05-09,Exclusive,13785193,False,113,
L0000194,P000227,A00078,2023-10-24,Open,11152145,True,21,2023-11-14
L0000195,P003939,A00119,2024-11-24,Open,8247801,False,49,
L0000196,P004069,A00108,2023-03-05,Exclusive,20825749,False,44,
L0000197,P000950,A00265,2022-04-05,Open,9584510,True,21,2022-04-26
L0000198,P004146,A00147,2022-05-25,Exclusive,9965798,False,129,
L0000199,P002145,A00228,2024-03-12,Exclusive,26579921,False,93,
L0000200,P001190,A00147,2022-06-11,Open,10062541,True,31,2022-07-12
L0000201,P003337,A00226,2024-11-03,Open,7140806,True,70,2025-01-12
L0000202,P001893,A00252,2023-06-26,Exclusive,7316773,False,25,
L0000203,P000493,A00197,2023-04-22,Exclusive,25670745,False,175,
L0000204,P002026,A00290,2023-10-23,Exclusive,19067528,False,64,
L0000205,P002686,A00232,2022-04-22,Open,13144997,False,37,
L0000206,P000238,A00224,2024-02-22,Exclusive,6521140,True,44,2024-04-06
L0000207,P000628,A00092,2024-04-14,Partner,7907180,True,46,2024-05-30
L0000208,P001949,A00241,2022-11-24,Exclusive,7515263,False,41,
L0000209,P001502,A00050,2022-09-26,Open,10816285,True,36,2022-11-01
L0000210,P000744,A00170,2024-09-23,Open,7176577,False,138,
L0000211,P004240,A00168,2023-03-03,Open,17228169,True,61,2023-05-03
L0000212,P001850,A00066,2023-09-07,Exclusive,10594931,True,61,2023-11-07
L0000213,P004134,A00292,2024-08-01,Exclusive,13816089,True,71,2024-10-11
L0000214,P001962,A00239,2024-04-01,Exclusive,8863093,True,9,2024-04-10
L0000215,P000415,A00009,2022-11-19,Open,12777608,False,56,
L0000216,P001889,A00241,2024-07-18,Exclusive,6969054,True,40,2024-08-27
L0000217,P001879,A00014,2024-10-02,Exclusive,8205145,False,32,
L0000218,P002704,A00185,2023-09-21,Open,10441003,True,48,2023-11-08
L0000219,P001618,A00088,2022-03-20,Exclusive,5156721,True,34,2022-04-23
L0000220,P003291,A00060,2024-09-26,Open,12240333,False,60,
L0000221,P002429,A00139,2022-12-08,Exclusive,7972437,False,88,
L0000222,P001679,A00257,2022-04-27,Exclusive,50975631,True,12,2022-05-09
L0000223,P003375,A00219,2023-12-27,Exclusive,9328913,True,16,2024-01-12
L0000224,P003492,A00016,2023-10-01,Exclusive,7109978,True,30,2023-10-31
L0000225,P000789,A00200,2024-05-28,Exclusive,17747549,False,106,
L0000226,P003766,A00172,2024-12-12,Partner,7313418,True,63,2025-02-13
L0000227,P004206,A00056,2022-09-06,Open,14916880,False,77,
L0000228,P001474,A00072,2022-09-07,Exclusive,18980323,False,58,
L0000229,P003806,A00237,2022-10-12,Exclusive,7728934,True,53,2022-12-04
L0000230,P000813,A00073,2022-06-23,Exclusive,7541558,False,98,
L0000231,P003009,A00273,2024-12-22,Exclusive,8265992,True,32,2025-01-23
L0000232,P002054,A00246,2023-08-30,Exclusive,11071716,True,38,2023-10-07
L0000233,P001059,A00150,2024-03-26,Exclusive,14315156,False,176,
L0000234,P001593,A00021,2022-09-26,Exclusive,26165850,True,40,2022-11-05
L0000235,P000991,A00065,2023-10-24,Open,25797932,False,239,
L0000236,P001275,A00250,2022-02-26,Open,31730176,False,150,
L0000237,P000369,A00192,2024-05-22,Open,9516476,True,80,2024-08-10
L0000238,P003627,A00113,2023-02-16,Exclusive,9816822,True,59,2023-04-16
L0000239,P000955,A00059,2022-04-14,Exclusive,7570721,False,61,
L0000240,P004238,A00055,2022-11-11,Exclusive,21794963,True,38,2022-12-19
L0000241,P004199,A00190,2024-03-19,Open,23777550,True,45,2024-05-03
L0000242,P002047,A00099,2022-12-19,Partner,16912235,False,56,
L0000243,P001259,A00105,2024-07-07,Open,13955218,False,136,
L0000244,P000318,A00112,2024-04-21,Partner,18014118,False,169,
L0000245,P002166,A00220,2023-05-10,Exclusive,18477350,True,23,2023-06-02
L0000246,P001920,A00133,2024-05-13,Exclusive,7769799,False,52,
L0000247,P000452,A00209,2023-11-20,Partner,10518894,True,41,2023-12-31
L0000248,P001488,A00280,2022-08-30,Open,10690328,True,3,2022-09-02
L0000249,P003423,A00050,2024-09-21,Open,12409303,True,41,2024-11-01
L0000250,P002591,A00049,2022-04-28,Open,12809154,False,11,
L0000251,P004000,A00110,2022-05-01,Exclusive,11314619,False,177,
L0000252,P001071,A00151,2022-12-29,Partner,6724578,False,142,
L0000253,P004344,A00169,2024-05-14,Open,20270252,False,54,
L0000254,P003149,A00202,2024-03-20,Exclusive,8943623,False,38,
L0000255,P001342,A00009,2023-12-16,Exclusive,17508574,False,152,
L0000256,P004335,A00143,2024-01-04,Open,11992370,True,28,2024-02-01
L0000257,P001160,A00088,2024-09-08,Open,9587468,True,50,2024-10-28
L0000258,P000953,A00191,2023-02-16,Exclusive,9007870,False,92,
L0000259,P003560,A00011,2022-06-22,Exclusive,18285511,False,59,
L0000260,P001941,A00126,2023-06-04,Open,8408223,False,135,
L0000261,P003760,A00292,2022-08-30,Open,7408949,False,99,
L0000262,P003365,A00060,2023-06-18,Open,12754779,True,14,2023-07-02
L0000263,P000907,A00022,2023-10-06,Exclusive,19795091,False,94,
L0000264,P001237,A00277,2024-04-01,Exclusive,9371783,True,4,2024-04-05
L0000265,P003912,A00066,2022-11-17,Open,6495658,False,13,
L0000266,P003218,A00264,2024-07-29,Exclusive,8119021,False,11,
L0000267,P004395,A00157,2022-06-16,Open,14220315,False,127,
L0000268,P002406,A00226,2024-07-30,Exclusive,25289226,True,36,2024-09-04
L0000269,P003363,A00228,2022-10-22,Exclusive,15230714,False,86,
L0000270,P002628,A00214,2023-12-17,Exclusive,13658607,True,25,2024-01-11
L0000271,P004323,A00248,2022-08-22,Exclusive,53890765,False,69,
L0000272,P001548,A00048,2023-05-02,Exclusive,6617862,True,51,2023-06-22
L0000273,P004185,A00214,2023-05-12,Open,6327074,True,62,2023-07-13
L0000274,P000723,A00283,2023-04-21,Open,16306510,False,45,
L0000275,P002372,A00004,2022-01-22,Exclusive,17149218,False,45,
L0000276,P002579,A00264,2024-01-27,Open,7600217,False,130,
L0000277,P001845,A00261,2022-12-09,Exclusive,16162740,True,64,
L0000278,P002196,A00003,2022-05-01,Open,12212745,True,36,2022-06-06
L0000279,P003081,A00247,2024-11-08,Open,20795866,True,27,2024-12-05
L0000280,P001629,A00219,2022-06-21,Partner,10717470,True,38,2022-07-29
L0000281,P000743,A00080,2022-04-03,Exclusive,9426905,False,172,
L0000282,P004044,A00223,2024-07-13,Exclusive,15367239,True,47,2024-08-29
L0000283,P001412,A00177,2024-07-19,Open,9775436,True,86,2024-10-13
L0000284,P003563,A00104,2024-06-16,Exclusive,9589524,True,39,2024-07-25
L0000285,P002617,A00129,2024-09-23,Exclusive,8580053,False,161,
L0000286,P000451,A00146,2024-01-03,Open,5827403,False,45,
L0000287,P001046,A00062,2022-07-11,Exclusive,12323178,True,33,2022-08-13
L0000288,P003392,A00088,2024-06-21,Open,13018126,False,158,
L0000289,P000867,A00276,2022-12-11,Open,9715274,True,62,2023-02-11
L0000290,P003241,A00101,2023-09-16,Exclusive,11746709,False,221,
L0000291,P001047,A00188,2024-02-08,Open,13803630,False,41,
L0000292,P003435,A00215,2023-07-04,Open,9039284,True,37,2023-08-10
L0000293,P002614,A00037,2024-03-20,Partner,23135264,True,23,2024-04-12
L0000294,P003672,A00204,2023-02-18,Open,10345806,True,48,2023-04-07
L0000295,P002845,A00199,2022-08-28,Open,20773481,False,159,
L0000296,P000365,A00069,2022-07-26,Exclusive,7107192,True,61,2022-09-25
L0000297,P003507,A00093,2023-12-10,Open,7020478,True,56,2024-02-04
L0000298,P004494,A00248,2023-06-03,Partner,9885397,False,56,
L0000299,P001823,A00169,2024-12-12,Open,9027836,True,50,2025-01-31
L0000300,P004084,A00079,2024-09-10,Exclusive,28816432,True,44,2024-10-24
L0000301,P001775,A00074,2023-07-22,Open,8523445,False,209,
L0000302,P001020,A00245,2022-11-11,Open,7993988,False,55,
L0000303,P003850,A00132,2023-11-25,Open,15196221,False,154,
L0000304,P001391,A00085,2022-01-10,Exclusive,12684827,False,67,
L0000305,P000971,A00183,2022-03-01,Exclusive,12313646,True,6,
L0000306,P001414,A00014,2023-10-22,Open,14396209,True,61,2023-12-22
L0000307,P002523,A00043,2022-03-15,Exclusive,19265873,False,202,
L0000308,P002999,A00198,2024-02-18,Exclusive,14402825,True,11,2024-02-29
L0000309,P003893,A00152,2022-08-16,Partner,9438994,True,24,2022-09-09
L0000310,P003099,A00044,2023-12-07,Open,17698424,False,40,
L0000311,P003448,A00179,2022-06-17,Exclusive,6214302,False,182,
L0000312,P000330,A00211,2022-06-20,Exclusive,8472175,False,132,
L0000313,P000542,A00159,2023-01-19,Open,43513435,False,61,
L0000314,P001018,A00030,2023-06-15,Exclusive,25757307,True,39,2023-07-24
L0000315,P003085,A00109,2022-10-17,Open,20195448,True,38,2022-11-24
L0000316,P003193,A00295,2023-01-04,Exclusive,7301279,True,29,2023-02-02
L0000317,P003173,A00212,2024-01-11,Exclusive,16021530,False,128,
L0000318,P001670,A00121,2024-12-13,Partner,12443661,True,62,2025-02-13
L0000319,P000116,A00172,2023-03-03,Exclusive,11662505,False,70,
L0000320,P001945,A00048,2023-11-17,Exclusive,16247751,True,26,2023-12-13
L0000321,P004187,A00038,2022-01-06,Exclusive,12020226,True,58,2022-03-05
L0000322,P002400,A00136,2023-09-30,Exclusive,22642897,False,107,
L0000323,P003037,A00270,2024-01-03,Exclusive,7395108,False,94,
L0000324,P000049,A00268,2024-12-09,Exclusive,39493407,False,141,
L0000325,P003669,A00209,2022-03-27,Open,13561140,False,66,
L0000326,P001939,A00220,2023-08-17,Open,8556783,True,70,2023-10-26
L0000327,P000403,A00185,2024-07-03,Partner,7414549,False,63,
L0000328,P003741,A00097,2022-02-08,Partner,6667898,True,56,2022-04-05
L0000329,P003967,A00206,2024-08-14,Open,16621161,True,12,2024-08-26
L0000330,P003076,A00213,2023-02-19,Exclusive,13687196,True,62,2023-04-22
L0000331,P001989,A00157,2022-05-31,Open,17917474,True,31,2022-07-01
L0000332,P002459,A00300,2024-04-29,Open,16209967,False,34,
L0000333,P000025,A00242,2024-07-28,Exclusive,14195974,False,66,
L0000334,P000989,A00016,2024-07-23,Open,8636027,True,34,2024-08-26
L0000335,P001751,A00195,2023-10-24,Open,10092476,False,164,
L0000336,P003939,A00116,2022-09-27,Open,8598197,False,82,
L0000337,P003256,A00229,2023-12-24,Open,14642090,True,64,2024-02-26
L0000338,P001140,A00091,2022-09-22,Open,10515532,True,35,2022-10-27
L0000339,P002894,A00277,2022-07-15,Open,11012559,False,77,
L0000340,P003842,A00039,2024-05-29,Open,24448519,False,63,
L0000341,P002973,A00198,2022-12-13,Exclusive,13992105,False,159,
L0000342,P000106,A00068,2023-09-06,Open,16321951,True,41,2023-10-17
L0000343,P004085,A00145,2023-10-13,Exclusive,8480235,False,193,
L0000344,P001891,A00045,2022-04-27,Exclusive,8194115,False,40,
L0000345,P000918,A00142,2024-05-07,Open,30320911,False,52,
L0000346,P001037,A00102,2022-06-07,Open,9648560,False,123,
L0000347,P000869,A00290,2023-01-10,Partner,11621918,True,34,2023-02-13
L0000348,P001568,A00195,2022-04-23,Open,9111620,True,77,2022-07-09
L0000349,P004183,A00212,2024-09-30,Open,16342338,False,156,
L0000350,P001027,A00166,2023-01-16,Partner,6411476,True,65,2023-03-22
L0000351,P002226,A00206,2024-10-12,Partner,6538497,False,38,
L0000352,P000477,A00064,2023-04-17,Open,5588862,False,131,
L0000353,P001372,A00062,2024-08-10,Open,3915741,True,30,2024-09-09
L0000354,P001594,A00214,2024-10-11,Exclusive,10762033,False,113,
L0000355,P002510,A00225,2022-04-26,Exclusive,23221481,False,178,
L0000356,P003902,A00004,2024-11-28,Exclusive,19522795,True,50,2025-01-17
L0000357,P003136,A00052,2022-08-06,Exclusive,6575958,True,77,2022-10-22
L0000358,P004122,A00102,2023-02-22,Partner,10078898,True,28,2023-03-22
L0000359,P002912,A00268,2024-07-11,Open,5825484,False,118,
L0000360,P001668,A00250,2024-08-31,Open,17900127,False,87,
L0000361,P004309,A00143,2024-09-18,Open,7737284,False,118,
L0000362,P002959,A00141,2022-05-30,Exclusive,13046653,True,31,2022-06-30
L0000363,P002653,A00206,2022-10-30,Partner,16663146,False,182,
L0000364,P002107,A00102,2023-11-17,Open,12623345,False,49,
L0000365,P004437,A00173,2024-05-05,Open,14534637,True,81,2024-07-25
L0000366,P000768,A00284,2022-06-19,Exclusive,11748494,True,60,2022-08-18
L0000367,P003645,A00266,2023-09-01,Open,10381216,False,87,
L0000368,P001082,A00155,2024-02-23,Exclusive,30365586,True,47,2024-04-10
L0000369,P004247,A00239,2023-10-25,Exclusive,10230205,True,58,2023-12-22
L0000370,P003963,A00201,2022-11-24,Open,16528406,False,73,
L0000371,P000882,A00057,2024-01-06,Exclusive,21952561,True,107,2024-04-22
L0000372,P001236,A00247,2024-04-17,Exclusive,11053748,True,60,2024-06-16
L0000373,P003223,A00027,2024-09-22,Exclusive,11952713,False,64,
L0000374,P002809,A00065,2024-12-07,Exclusive,16758594,False,39,
L0000375,P003878,A00278,2023-10-23,Open,9612014,False,156,
L0000376,P001191,A00277,2023-06-09,Exclusive,22891530,False,66,
L0000377,P001434,A00064,2024-07-29,Exclusive,7404226,False,189,
L0000378,P004110,A00162,2024-08-09,Open,46159453,True,50,2024-09-28
L0000379,P003800,A00061,2023-01-09,Open,17334861,False,117,
L0000380,P003641,A00152,2022-05-21,Exclusive,11140025,False,30,
L0000381,P003251,A00142,2022-11-03,Exclusive,16072703,True,77,2023-01-19
L0000382,P003775,A00060,2022-11-06,Exclusive,8729789,True,19,2022-11-25
