transaction_id,listing_id,property_id,agent_id,customer_id,city,deal_date,deal_price,commission_amount,payment_mode,deal_status
T00000067,L0003177,P003502,A00274,C002555,Rajshahi,2024-08-31,9887629.0,189842,Cash,Completed
T00000068,L0006026,P000222,A00256,C004030,Chattogram,2022-07-26,13610799.0,334826,Installment,Completed
T00000069,L0001538,P004438,A00172,C003075,Rangpur,2024-09-20,5380244.0,144191,Cash,Completed
T00000070,L0008292,P004278,A00212,C000737,Dhaka,2022-12-30,,576655,Cash,Completed
T00000071,L0000294,P003672,A00204,C002907,Khulna,2023-04-07,10035628.0,200713,Mortgage,Completed
T00000072,L0001022,P001972,A00292,C001161,Barishal,2023-12-30,9337391.0,232501,Mortgage,Completed
T00000073,L0007714,P001367,A00160,C000520,Chattogram,2023-06-24,28128647.0,762286,Installment,Completed
T00000074,L0003627,P001108,A00059,C000210,Sylhet,2023-12-09,5873448.0,161520,Cash,Completed
T00000075,L0001653,P001532,A00290,C006796,Chattogram,2023-09-01,18290948.0,440812,Cash,Completed
T00000076,L0001643,P003781,A00292,C007787,Rajshahi,2023-09-29,12997701.0,323643,Mortgage,Completed
T00000077,L0002295,P001271,A00059,C002086,Khulna,2023-08-07,7536125.0,207243,Mortgage,Completed
T00000078,L0006984,P001021,A00234,C002342,Mymensingh,2022-07-23,25095442.0,772940,Mortgage,Completed
T00000079,L0004456,P003282,A00218,C000463,Dhaka,2024-05-02,8610013.0,253134,Cash,Completed
T00000080,L0000358,P004122,A00102,C006768,Dhaka,2023-03-22,10613151.0,247286,Cash,Completed
T00000081,L0004256,P001306,A00244,C001029,Barishal,2024-05-26,10406625.0,324687,Mortgage,Completed
T00000082,L0000067,P001178,A00196,C006487,Sylhet,2024-07-10,7730113.0,221081,Installment,Completed
T00000083,L0006076,P002514,A00010,C005148,Khulna,2025-03-05,17688742.0,500591,Mortgage,Completed
T00000084,L0003268,P003868,A00018,C001383,Chattogram,2022-06-25,18638756.0,506974,Cash,Completed
T00000085,L0007838,P003996,A00142,C007166,Khulna,2024-11-15,11325597.0,232175,Mortgage,Completed
T00000086,L0001610,P004280,A00298,C000893,Sylhet,2023-01-04,11355514.0,297514,Mortgage,Completed
T00000087,L0005683,P001354,A00123,C001435,Mymensingh,2022-10-06,5663407.0,141019,Mortgage,Completed
T00000088,L0003022,P000228,A00135,C003794,Sylhet,2022-11-29,10114879.0,160827,Mortgage,Completed
T00000089,L0005858,P004122,A00213,C004664,Dhaka,2022-04-29,12023873.0,259716,Mortgage,Completed
T00000090,L0005419,P002415,A00166,C003204,Mymensingh,2022-09-25,9219506.0,306088,Mortgage,Completed
T00000091,L0008073,P000584,A00057,C002468,Chattogram,2023-11-06,5893110.0,139667,Mortgage,Completed
T00000092,L0003152,P003072,A00054,C001704,Rangpur,2024-04-20,6462107.0,179647,Mortgage,Completed
T00000093,L0008137,P000354,A00288,C002670,Barishal,2023-11-07,10678880.0,183677,Installment,Completed
T00000094,L0002990,P004432,A00187,C000717,Dhaka,2024-08-20,17304296.0,432607,Mortgage,Completed
T00000095,L0008488,P003102,A00093,C006954,Dhaka,2023-09-10,34022129.0,962826,Installment,Disputed
T00000096,L0005333,P000467,A00153,C006874,Mymensingh,2023-08-31,4276978.0,124032,Mortgage,Completed
T00000097,L0007788,P000867,A00027,C004107,Rangpur,2022-12-12,8876249.0,193502,Mortgage,Completed
T00000098,L0004313,P000253,A00252,C007560,Dhaka,2023-02-08,23306732.0,552370,Cash,Completed
T00000099,L0007772,P001655,A00192,C003985,Dhaka,2022-12-15,23908114.0,473381,Mortgage,Completed
T00000100,L0007281,P001395,A00074,C000982,Chattogram,2022-08-11,16960595.0,422319,Installment,Completed
T00000101,L0005118,P001571,A00130,C006674,Rajshahi,2023-01-07,8221138.0,227726,Mortgage,Completed
T00000102,L0006727,P001522,A00155,C002902,Chattogram,2023-09-02,8852315.0,185013,Installment,Completed
T00000103,L0003623,P002040,A00234,C005720,Dhaka,2023-07-08,13969987.0,430276,Cash,Completed
T00000104,L0003308,P001345,A00047,C004895,Dhaka,2022-12-14,27307923.0,649929,Cash,Completed
T00000105,L0007658,P001041,A00038,C002972,Chattogram,2022-10-30,10352974.0,237083,Mortgage,Completed
T00000106,L0007552,P004352,A00176,C001489,Dhaka,2022-06-28,48823408.0,1342644,Installment,Completed
T00000107,L0007790,P001847,A00049,C001353,Dhaka,2022-06-17,11112366.0,268919,Installment,Completed
T00000108,L0006932,P003496,A00092,C005577,Khulna,2024-04-24,4771848.0,115956,Mortgage,Completed
T00000109,L0000644,P000124,A00246,C002317,Rangpur,2024-02-29,21549953.0,506424,Mortgage,Completed
T00000110,L0006041,P002656,A00262,C002437,Sylhet,2022-08-27,9569410.0,276556,Installment,Completed
T00000111,L0007454,P003406,A00158,C004563,Chattogram,2023-09-15,10502698.0,301427,Mortgage,Completed
T00000112,L0006643,P003752,A00296,C007381,Chattogram,2024-11-04,9122442.0,185186,Cash,Completed
T00000113,L0005054,P002355,A00148,C002218,Chattogram,2022-08-18,13899281.0,355822,Cash,Completed
T00000114,L0003667,P001789,A00208,C005056,Dhaka,2022-06-08,15183788.0,372003,Cash,Completed
T00000115,L0007048,P002490,A00167,C003928,Dhaka,2024-01-14,28440003.0,912924,Cash,Completed
T00000116,L0007536,P000661,A00214,C004237,Chattogram,2023-11-09,9458736.0,195796,Mortgage,Completed
T00000117,L0003243,P003390,A00191,C005823,Rangpur,2023-11-25,16583783.0,417911,Cash,Completed
T00000118,L0001710,P000314,A00183,C005370,Dhaka,2023-06-26,13265570.0,423172,Mortgage,Completed
T00000119,L0001134,P002797,A00130,C000096,Dhaka,2022-03-30,9621184.0,266507,Cash,Completed
T00000120,L0003219,P001520,A00042,C003050,Dhaka,2022-07-19,33637636.0,514656,Cash,Completed
T00000121,L0003257,P003972,A00275,C005297,Dhaka,2024-02-08,8148950.0,202094,Mortgage,Completed
T00000122,L0006772,P001555,A00079,C005094,Chattogram,2023-06-21,24522610.0,453668,Cash,Completed
T00000123,L0003628,P003565,A00109,C005428,Sylhet,2023-07-23,6314276.0,99134,Mortgage,Completed
T00000124,L0008029,P004331,A00151,C005045,Chattogram,2022-09-06,7072144.0,130835,Cash,Completed
T00000125,L0003694,P003491,A00274,C004832,Rangpur,2023-04-09,7621069.0,146325,Mortgage,Completed
T00000126,L0005545,P003787,A00067,C003758,Chattogram,2024-11-09,19660682.0,536737,Cash,Completed
T00000127,L0005176,P004189,A00063,C005358,Khulna,2022-12-19,7399455.0,239742,Installment,Completed
T00000128,L0006107,P004001,A00158,C000572,Dhaka,2023-09-05,19874108.0,570387,Mortgage,Completed
T00000129,L0007719,P000638,A00112,C003382,Dhaka,2025-01-03,13326010.0,322489,Cash,Completed
T00000130,L0004140,P002594,A00253,C005491,Sylhet,2024-03-09,16393660.0,534433,Mortgage,Completed
T00000131,L0000329,P003967,A00206,C004985,Dhaka,2024-08-26,17056786.0,453711,Cash,Completed
T00000132,L0007546,P001176,A00016,C004250,Rajshahi,2024-09-09,13944196.0,313744,Installment,Completed
T00000133,L0000637,P000346,A00154,C005996,Dhaka,2022-12-10,13338752.0,397495,Cash,Completed
T00000134,L0008409,P002134,A00118,C007677,Dhaka,2024-09-20,9576184.0,202057,Mortgage,Completed
T00000135,L0003407,P002481,A00026,C002527,Rangpur,2022-10-21,,277624,Cash,Completed
T00000136,L0002979,P002324,A00275,C005661,Barishal,2022-09-29,7554535.0,187352,Mortgage,Completed
T00000137,L0002219,P002655,A00122,C002714,Khulna,2024-07-08,13005166.0,358943,Mortgage,Completed
T00000138,L0003634,P000256,A00155,C001551,Chattogram,2022-12-22,17133860.0,358098,Cash,Completed
T00000139,L0006873,P000755,A00161,C006913,Dhaka,2022-03-13,25884375.0,608283,Mortgage,Completed
T00000140,L0007751,P003893,A00100,C000330,Rajshahi,2024-12-03,7832055.0,242794,Installment,Completed
T00000141,L0002286,P001601,A00094,C000131,Chattogram,2024-07-02,30094536.0,827600,Mortgage,Completed
T00000142,L0002475,P004161,A00021,C003574,Sylhet,2023-09-18,14864803.0,272026,Mortgage,Completed
T00000143,L0008155,P004305,A00039,C000089,Dhaka,2023-05-11,42669714.0,998471,Mortgage,Completed
T00000144,L0002443,P003466,A00136,C005529,Dhaka,2025-02-04,10346682.0,196587,Mortgage,Completed
T00000145,L0003218,P003609,A00006,C003191,Dhaka,2023-10-31,28216665.0,519187,Cash,Completed
T00000146,L0007801,P002464,A00156,C000640,Khulna,2022-05-10,6283434.0,110588,Cash,Completed
T00000147,L0005022,P001215,A00102,C005800,Sylhet,2022-11-28,7849601.0,182896,Mortgage,Completed
T00000148,L0005572,P003223,A00128,C003385,Dhaka,2023-08-07,14801554.0,297511,Installment,Completed
T00000149,L0002821,P004159,A00091,C007040,Rajshahi,2024-07-09,9179774.0,244182,Mortgage,Completed
T00000150,L0007821,P002512,A00047,C000014,Mymensingh,2024-11-29,8861512.0,210904,Mortgage,Completed
T00000151,L0007381,P000072,A00171,C003477,Barishal,2023-03-22,7862501.0,217005,Cash,Completed
T00000152,L0000600,P001561,A00008,C007614,Dhaka,2025-01-08,18624721.0,433956,Mortgage,Completed
T00000153,L0004696,P002790,A00175,C007438,Dhaka,2024-01-16,10424984.0,291900,Mortgage,Completed
T00000154,L0007601,P000680,A00031,C007419,Khulna,2022-10-16,5812342.0,130778,Mortgage,Completed
T00000155,L0000546,P001033,A00286,C004338,Mymensingh,2024-10-10,15028142.0,380212,Mortgage,Completed
T00000156,L0004102,P003908,A00155,C001902,Khulna,2024-11-13,11438261.0,239060,Mortgage,Completed
T00000157,L0002736,P001456,A00295,C005425,Mymensingh,2024-10-06,17070845.0,351659,Mortgage,Completed
T00000158,L0005676,P000001,A00092,C006297,Barishal,2024-04-10,7301912.0,177436,Cash,Completed
T00000159,L0005552,P002563,A00273,C005015,Dhaka,2024-11-12,9728360.0,205268,Cash,Completed
T00000160,L0006277,P002956,A00118,C007371,Dhaka,2024-12-20,12695559.0,267876,Installment,Completed
T00000161,L0000427,P002211,A00028,C006993,Mymensingh,2023-03-31,12465278.0,248059,Cash,Completed
T00000162,L0000746,P003471,A00236,C001511,Rangpur,2025-01-19,12797884.0,211165,Installment,Completed
T00000163,L0004744,P004114,A00186,C007331,Rajshahi,2023-11-17,8243346.0,250598,Cash,Completed
T00000164,L0002476,P002939,A00097,C004322,Rangpur,2024-04-11,5195232.0,121049,Cash,Completed
T00000165,L0003344,P001129,A00144,C007279,Rangpur,2022-09-29,19421117.0,489412,Mortgage,Completed
T00000166,L0005779,P004191,A00018,C006218,Dhaka,2022-11-24,14113050.0,383875,Mortgage,Completed
T00000167,L0001580,P001447,A00231,C004469,Chattogram,2022-09-11,11591793.0,302546,Cash,Completed
T00000168,L0005424,P000439,A00239,C005180,Dhaka,2024-03-04,14100906.0,353933,Cash,Completed
T00000169,L0002084,P001297,A00228,C004567,Chattogram,2025-01-30,11662148.0,305548,Cash,Completed
T00000170,L0002157,P002223,A00010,C006659,Rajshahi,2024-07-07,18324492.0,518583,Mortgage,Completed
T00000171,L0007725,P001425,A00112,C005075,Chattogram,2022-12-31,14078667.0,340704,Mortgage,Completed
T00000172,L0004017,P001478,A00152,C004016,Sylhet,2024-07-25,18652599.0,298442,Mortgage,Completed
T00000173,L0008122,P001080,A00010,C006290,Rajshahi,2023-09-12,6786340.0,192053,,Completed
T00000174,L0006102,P002130,A00169,C006697,Mymensingh,2023-10-03,6408931.0,136510,Installment,Completed
T00000175,L0004309,P000790,A00029,C002552,Rajshahi,2022-10-20,12063686.0,336577,Cash,Completed
T00000176,L0008479,P000829,A00183,C001820,Dhaka,2022-08-15,11128421.0,354997,Cash,Completed
T00000177,L0006259,P001322,A00244,C004932,Khulna,2024-06-10,5350520.0,166936,Mortgage,Completed
T00000178,L0007425,P003121,A00111,C007478,Chattogram,2023-04-15,21834364.0,465072,Mortgage,Completed
T00000179,L0001608,P001761,A00246,C006689,Sylhet,2024-12-16,10392236.0,244218,Cash,Completed
T00000180,L0000178,P001164,A00115,C004642,Mymensingh,2022-06-25,9461416.0,197744,Installment,Completed
T00000181,L0003214,P002738,A00027,C000853,Khulna,2022-10-18,8303615.0,181019,Mortgage,Completed
T00000182,L0000929,P002312,A00034,C006957,Barishal,2023-03-19,8827914.0,221581,Cash,Disputed
T00000183,L0002241,P000612,A00089,C006866,Barishal,2024-02-11,7320875.0,252570,Cash,Completed
T00000184,L0004964,P000482,A00204,C005981,Dhaka,2024-10-24,14529984.0,290600,Cash,Completed
T00000185,L0000820,P002897,A00232,C005649,Dhaka,2024-09-22,11594624.0,236530,Installment,Completed
T00000186,L0000050,P000307,A00108,C006660,Dhaka,2023-11-16,9339346.0,204532,Mortgage,Completed
T00000187,L0000392,P000306,A00104,C001968,Chattogram,2024-11-05,19278669.0,462688,Installment,Completed
T00000188,L0008059,P000644,A00045,C002952,Dhaka,2022-10-19,17344121.0,405852,Cash,Completed
T00000189,L0006714,P003750,A00297,C001111,Chattogram,2023-02-25,14648149.0,301752,Cash,Completed
T00000190,L0005130,P002927,A00200,C000467,Sylhet,2023-06-25,6499453.0,157287,Mortgage,Completed
T00000191,L0001744,P000223,A00064,C004140,Dhaka,2024-06-24,12383883.0,300928,Mortgage,Completed
T00000192,L0003059,P004132,A00114,C002581,Dhaka,2022-05-15,44170348.0,1060088,Mortgage,Completed
T00000193,L0002306,P002555,A00146,C002787,Dhaka,2022-02-01,14072374.0,340551,Mortgage,Completed
T00000194,L0001474,P003831,A00294,C000459,Dhaka,2024-10-22,34551775.0,995091,Installment,Completed
T00000195,L0007944,P001186,A00043,C004181,Dhaka,2022-08-04,15003658.0,471115,Installment,Completed
T00000196,L0002864,P001331,A00003,C000255,Rajshahi,2024-08-25,7619144.0,153145,Mortgage,Completed
T00000197,L0002552,P000760,A00179,C001565,Chattogram,2023-09-20,12511135.0,316532,Cash,Completed
T00000198,L0005503,P002070,A00226,C007499,Dhaka,2024-05-23,19923786.0,458247,Mortgage,Completed
T00000199,L0006200,P002766,A00138,C004427,Dhaka,2022-05-30,28584986.0,880418,Mortgage,Completed
T00000200,L0007747,P001239,A00220,C005786,Dhaka,2022-11-07,38392154.0,767843,Mortgage,Completed
T00000201,L0003446,P001463,A00115,C001007,Chattogram,2024-04-26,35651316.0,745113,Installment,Completed
T00000202,L0000793,P002981,A00093,C005920,Dhaka,2023-10-28,16169456.0,457596,Cash,Completed
T00000203,L0006206,P002249,A00240,C000652,Khulna,2023-05-27,7596339.0,186110,Mortgage,Completed
T00000204,L0006421,P002022,A00261,C003938,Rajshahi,2023-09-30,5531497.0,122799,Mortgage,Completed
T00000205,L0005088,P004491,A00223,C003674,Barishal,2023-11-08,,166414,Cash,Completed
T00000206,L0008090,P001641,A00143,C003110,Sylhet,2023-05-19,7997676.0,214338,Cash,Completed
T00000207,L0000992,P004455,A00016,C005037,Sylhet,2024-12-12,6425887.0,144582,Installment,Completed
T00000208,L0005164,P002006,A00203,C004488,Chattogram,2023-11-11,24150679.0,531315,Installment,Completed
T00000209,L0002528,P001240,A00105,C001173,Mymensingh,2023-10-13,7093747.0,204300,Cash,Completed
T00000210,L0008461,P001792,A00264,C007941,Dhaka,2023-08-14,12382111.0,284789,Cash,Completed
T00000211,L0007111,P000809,A00244,C001526,Chattogram,2023-08-08,43274337.0,1350159,Mortgage,Completed
T00000212,L0004281,P003516,A00153,C003878,Rajshahi,2024-03-29,4608640.0,133651,Mortgage,Completed
T00000213,L0006188,P003346,A00158,C003647,Mymensingh,2022-07-17,16216856.0,465424,Cash,Completed
T00000214,L0001672,P001179,A00054,C003488,Chattogram,2024-11-15,14535652.0,404091,Cash,Completed
T00000215,L0001374,P000126,A00061,C002135,Chattogram,2024-10-23,11006914.0,282878,Mortgage,Completed
T00000216,L0003653,P002743,A00087,C004857,Chattogram,2022-09-30,11992643.0,339392,Mortgage,Completed
T00000217,L0006375,P002072,A00206,C000244,Dhaka,2022-06-14,22075071.0,587197,Cash,Completed
T00000218,L0007924,P003361,A00039,C002336,Sylhet,2022-12-26,6430718.0,150479,Cash,Completed
T00000219,L0008455,P000789,A00144,C002021,Dhaka,2022-05-24,17488983.0,440722,Mortgage,Completed
T00000220,L0002420,P000207,A00213,C006620,Rangpur,2022-10-06,8024092.0,173320,Installment,Completed
T00000221,L0004645,P002815,A00091,C006789,Dhaka,2023-04-10,24555205.0,653168,Cash,Completed
T00000222,L0005604,P000649,A00113,C006405,Rajshahi,2023-05-13,,384143,Mortgage,Completed
T00000223,L0001564,P001418,A00082,C007877,Khulna,2025-01-31,15256126.0,228842,Installment,Completed
T00000224,L0000308,P002999,A00198,C005768,Khulna,2024-02-29,14065688.0,365708,Mortgage,Completed
T00000225,L0000876,P002498,A00238,C003717,Chattogram,2022-07-14,6961441.0,174732,Cash,Completed
T00000226,L0000232,P002054,A00246,C003537,Dhaka,2023-10-07,10748657.0,252593,Cash,Completed
T00000227,L0001114,P001509,A00295,C007499,Rajshahi,2023-09-13,19364805.0,398915,Mortgage,Completed
T00000228,L0003860,P003918,A00261,C007234,Dhaka,2023-06-10,18722366.0,415637,Cash,Completed
T00000229,L0005467,P003683,A00291,C007279,Chattogram,2024-10-08,9462239.0,232771,Installment,Completed
T00000230,L0004892,P003479,A00167,C004942,Dhaka,2022-08-16,19877864.0,638079,Mortgage,Completed
T00000231,L0006314,P001117,A00091,C005443,Dhaka,2023-12-19,8799461.0,234066,Cash,Completed
T00000232,L0007420,P004397,A00164,C002268,Dhaka,2024-01-11,21048796.0,500961,Mortgage,Completed
T00000233,L0002584,P003621,A00165,C000432,Dhaka,2024-04-19,13172998.0,275316,Cash,Completed
T00000234,L0006817,P003669,A00030,C004436,Dhaka,2023-12-08,13710045.0,356461,Mortgage,Completed
T00000235,L0004784,P003146,A00260,C004325,Dhaka,2024-03-22,13821796.0,392539,Cash,Completed
T00000236,L0002441,P002100,A00199,C003030,Dhaka,2024-04-01,9412891.0,237205,Installment,Completed
T00000237,L0001002,P003429,A00231,C004051,Dhaka,2024-01-26,18671518.0,487327,Cash,Completed
T00000238,L0008066,P004274,A00229,C004098,Sylhet,2022-08-26,12074057.0,282533,Cash,Disputed
T00000239,L0000037,P002769,A00089,C007765,Sylhet,2024-08-14,5988712.0,206611,Cash,Completed
T00000240,L0000825,P002523,A00162,C000474,Rangpur,2023-07-25,17370461.0,371728,Mortgage,Completed
T00000241,L0001810,P003299,A00250,C005241,Mymensingh,2024-03-28,16417297.0,504011,Mortgage,Completed
T00000242,L0000496,P001892,A00065,C007705,Barishal,2023-12-08,15105667.0,478850,Mortgage,Completed
T00000243,L0001171,P003751,A00197,C000209,Khulna,2022-11-07,9081602.0,227040,Mortgage,Completed
T00000244,L0000369,P004247,A00239,C001980,Dhaka,2023-12-22,9877359.0,247922,Cash,Completed
T00000245,L0005561,P001676,A00009,C006464,Dhaka,2022-03-25,16550928.0,379016,Mortgage,Completed
T00000246,L0007195,P002786,A00076,C001328,Mymensingh,2024-04-19,4344175.0,102523,Cash,Completed
T00000247,L0000718,P001265,A00030,C005438,Dhaka,2024-12-24,17721400.0,460756,Cash,Completed
T00000248,L0008407,P002385,A00280,C003583,Dhaka,2024-12-31,31339620.0,733347,Mortgage,Completed
T00000249,L0001665,P000137,A00296,C001014,Khulna,2023-05-26,21944992.0,445483,Cash,Completed
T00000250,L0000939,P001665,A00044,C001849,Barishal,2024-10-21,13101372.0,458548,Mortgage,Completed
T00000251,L0002134,P001528,A00214,C002038,Dhaka,2023-06-06,17244281.0,356957,Cash,Completed
T00000252,L0002672,P002935,A00026,C006979,Dhaka,2023-11-17,37931029.0,1016552,Installment,Completed
T00000253,L0007580,P003812,A00214,C007837,Rajshahi,2024-05-05,14359143.0,297234,Cash,Completed
T00000254,L0000068,P001699,A00059,C003141,Barishal,2022-06-04,8165424.0,224549,Mortgage,Completed
T00000255,L0000416,P002326,A00098,C006573,Sylhet,2023-11-08,13423407.0,310081,Installment,Completed
T00000256,L0007713,P002074,A00084,C003746,Rangpur,2023-09-24,3438698.0,89750,Cash,Completed
T00000257,L0005960,P001219,A00031,C000076,Khulna,2024-11-17,7065098.0,158965,Mortgage,Completed
T00000258,L0002408,P002403,A00228,C004727,Rajshahi,2023-10-31,8414250.0,220453,Mortgage,Completed
T00000259,L0002639,P001278,A00144,C003114,Sylhet,2022-06-04,19580263.0,493423,Mortgage,Completed
T00000260,L0002418,P000989,A00206,C004642,Mymensingh,2024-01-30,8571417.0,228000,Cash,Completed
T00000261,L0007105,P000093,A00009,C005134,Dhaka,2023-05-09,63413666.0,1452173,Mortgage,Completed
T00000262,L0000641,P003555,A00141,C000980,Chattogram,2023-10-10,12638996.0,257836,Mortgage,Completed
